stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,4.17,0,1.16,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,1.15,0,0,0,0
 24-34,16.73,0,0,0,0,0,0,0,0,1.96,0,0,0.6,22.21,6.88,0,0,0,0.81,6.3,0,0,0,0
 36-46,11.82,0.62,0,0,0,5.06,0,0,0,0.93,0,0,0,75.67,5.99,0,0,0,2.53,12.13,0,0,0,0
 48-58,11.27,0.4,16.26,0,0,0,0,0,0,1.47,0,1.03,0,77.45,2.11,0,0,0,11.39,12.81,0,0,0,0
 60-70,4.71,0,145.54,0,0,3.32,0,0,0,0,0,2.21,0,153.78,0,0,0,0,0,15.21,0,0,0,2.4
 72-82,3.21,0.73,209.6,0.56,0,9.02,0.73,1.5,0,5.28,0.74,0,1.23,160.76,2.95,0,0.71,0,0,22.43,3.98,0,0,2.81
 84-94,13.12,0,163.27,0,5.22,2.75,5.22,0,0.55,3.11,0,0,0,116.22,7,0,0,0,0.74,9.77,0,2.05,0,5.46
 96-106,6.26,4.71,113.42,0,0,7.23,2.21,0,0.62,11.18,0,0,0,124.09,1.44,0,1.6,0,0.89,4.13,0,0,0.83,2.89
108-118,3.14,0.93,83.34,0,0,7.56,1.64,0,1.16,16.82,0,0,1.84,165.77,0,0.78,0,1.99,0,16.73,0,0,0,3.9
120,1.43,0,27.1,1.75,0,15.82,0,0,0,18.15,0,0,1.04,502.05,2.28,0,0,3.24,0,12.45,0,0,0,0
