stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.56,0,0,0,0,0,0,0,0,0,16.11,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0.9,0,0,9.83,0,0,0,0,0,0.88,1.86,0,0
 24-34,0,0,0,2.16,0,0,0,0,2.75,0,0,19.2,0,0.6,0,1.6,0,0,4.07,0,0
 36-46,0,0,0.76,2.61,0,0.64,0,0,2.58,1.78,0,14.31,0,0,0,0,0,0,4.15,0,0
 48-58,0,0,0,15.47,0,0,0,0,1.76,0,0,9.27,0,0,0,2.53,0.74,0,1.52,0.41,1.32
 60-70,0,0,0,7.15,0.59,0.77,0,0,0.99,0,0,15.2,1.83,0,0,0,0,0,0,0,4.82
 72-82,0,0,0,2.85,0,14.54,0,0,3.95,0,0,4.21,0,0,0,5.73,0,0,0,0.79,0
 84-94,0,0,0,0.79,0,0.91,0,0,0.56,0,0,1.13,0,0,0.97,10.84,0,0,0,3.62,0
 96-106,0,0,0,1.33,0,1.59,0,0,1.59,2.28,0,4.37,0,1.71,0,2.83,0,0,0.64,0.68,0.68
108-118,0,0.74,0,0,0,1.77,0,0.5,7.46,0,1.08,7.88,0,1.13,0,11.22,0,0,0,5.36,0
120,0,0,0,3.33,0,0,2.71,0,0,1.05,0,18.8,0,0,0,15.11,0,0,0,0,0
