stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,somites,taste,vasculature
  3-4,22.21,0,0,0,0,0,0,0,0,0,0,0,0,243.65,0,0,0
  5-6,31.93,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,33.11,0,0,0,37.6,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.79,0,0,0,13.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.14,2.93,0,0,0,0,0.81,0,0
 24-34,0,0.61,0,0,0,0,0,0,0,0.75,0,0,0,0.66,0,0,0.6
 36-46,0,0,0,0,0,0,0.66,0,0,3.09,0,1.39,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.4,0,0.39,0,0,0,0,0,0,0,0.45
 60-70,0,0,13.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,6.19,0
 84-94,0,0.59,0,0,0,0,7.82,5.51,0,0,0,0,0,1.11,0,0,0
 96-106,0,0,0,0,2.37,0,0.92,0,0,1,0.99,0,0,0,0,0,0
108-118,0,3.54,0.45,0,0,1.07,1.41,0,0,0,0,0,0.95,0.82,0,0,0.66
120,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
