stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,141.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.84,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0.83,0,0,0,47.23,0,0,0,0,1.73,2.52,18.98,0,0,0,0,0
 24-34,0,0,0.62,1.03,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,325.34,0,0,0,2.49,0,0,94.64,0,0,0,0,0
 36-46,0,0,0,2.47,0,76.73,0,0,0,3.59,0,0,0,0,0,0,0.57,0.87,0,0,1152.56,0.73,1.59,0,0,0,0,190.74,0,0,0,0,0
 48-58,0,0,0,3.27,0,402,1.44,0,2.39,7.87,0,0,0,0,0,1.04,7.91,0,0,0,1573.85,0,0,0.82,0.79,0.53,0,235.32,0,0,0,0.9,0.4
 60-70,0,0,0,3.59,0,1643.5,0.63,0,0,25.82,0,1.97,0,0,0,0,10.97,0,4.18,0,1820.91,0,0,0,5.38,0,0,362.43,0,1.56,7.15,12.11,0
 72-82,0,0.68,0,10.05,0,2372.99,0,2.98,0.61,25.98,0,0,0.49,0,2.8,0,26.14,0,1.98,0.68,1803.27,0,0.91,1.75,1.54,0,0,252.73,0,4.04,0.72,20.25,3.97
 84-94,0,0,1.04,3.08,1.03,1660.29,0,0,1.72,32.94,1.74,0,1.38,1.2,0,0,23.39,0,1.87,0.74,1115.06,1.93,0,0,3.32,0,0,187.19,0,4.65,1.74,35.04,0
 96-106,0,1.06,0,17.93,13.18,1883.89,0,0,3.66,36.85,0,0,0,0,0,1.08,29.05,8.93,2.11,1.18,799.45,0,0,2,1.39,0,0,99.73,1.13,5.34,2.32,17.81,0
108-118,0,0,0,6.52,0,1519.33,0,0,0,46.35,1.06,0,0.87,0.55,1.37,1.24,30.7,0,0.45,1.66,953.93,0.41,0,0.43,4.53,0,0,48.19,3.42,2.65,1,11.24,0
120,0,0,0,1.27,2.03,1564.95,0,0,0,60.33,2.58,0,1.89,0,0,1.88,21.64,0,0,2.94,1187.91,1.1,0,8.17,4.65,0,0,80.69,0,0,0,14.54,0
