stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.52,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17,7.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,15.32,0,0,0,0,0,0,0,0,0,0,0,0,33.81,12.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.9,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,0,0,1.06,0,0,1.06,0.83,0,0,0
 24-34,0,0,0,0,4.34,1.07,0,1.46,0,0,0,0,0,2.79,0,0,0.66,52.91,0,0,0.71,1.59,0,0.75,9.49,0.91,0,0
 36-46,0,0,0,0,6.67,0,0,0.94,0,0,0,0,11.36,4.54,0,0,0,38.55,0,0,2.31,0,0,0,3.33,0,0,0
 48-58,0,0,0,0,12.15,0,0,4.79,0,0.44,0,0,0,11.37,0,0,0.44,35.78,0,0.56,0,0,0,0,7.15,1.23,0,2.1
 60-70,0,0,0,0,15.99,0,0.75,14.02,0,0,0,0,0,6.51,0,1.78,0,74.4,0,0,9.62,0,0,0,1.25,1.75,0,0
 72-82,0,0,1.59,0,18.84,0,0,3.79,0,0,0,0,0,7.06,0,2.37,0.96,27.07,0,0.87,3.41,0.9,0,0,1.1,0,0,0
 84-94,0,0,4.42,0,6.15,0,0,4.3,5.57,0.97,0,0,0,11.59,3.17,7.15,0,9.39,0,2.48,4.22,0,0,0,5.17,0,0,0
 96-106,0,0,0,0,0,0,0,1.24,0,0,1.32,0.59,0,5.89,0,0,0,7.76,0,0,0,0,5.77,0,0,0,0,7.24
108-118,0,0,0.96,0,6.55,0,1.82,6.56,3.04,2.49,0,0.6,0,5.79,0,0,0.44,35.24,0,0,0,0.54,0,0,0,2.9,0.57,0
120,0,0,13.72,0,44.99,0,0,3.21,4.86,0,1.47,0,0,17.69,0,0,3.19,76.25,0,0,7.49,0,0,0,2.02,0,0,0
