stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0
  5-6,299.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.01,0,0,0,0,0,0,0,73.29,8.44,0,0,8.64,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,63.66,0,0,0,15.87,0,0,0,0
 14-21,0,1.69,3.65,0,0,0,0,0,0,1.01,0,0,29.48,0.82,0,0,0,0,0.84,9.51,0
 24-34,0,0,0,0,2.13,0,0,0.7,0,3.37,1.21,1.29,40.61,0,0,0.72,0,0.74,0,11.32,1.11
 36-46,0,0,0,0.58,6.56,0.56,0,0,0,2.88,0,0,35.47,0,0,0,0,0,0,14.13,3.2
 48-58,0,0,2.8,0,6.98,0,0,6.68,0.71,0.77,0,0.43,9.52,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,7.96,0,0.86,1.48,0,4.15,2.32,0,12.04,0,0,0,0,0,0,4.28,0
 72-82,0,0,0,0,6.1,0,0,0,0,2.35,0,0,5.36,0,0,0,0,0,0,3.57,0
 84-94,0,0,0,0,5.36,0,0,0,0,1.34,0,0,9.4,0,0,0,0,0,0,1.23,0
 96-106,0,0,0,0,4.72,0,0,0,0,0,0,0,8.04,0,2.09,0,0,0,0,0,0
108-118,0,0,0,0,2.95,0,0,0.95,0,4.77,0,0,5.59,0,0,0,0,0,0,3.62,0
120,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0
