stage,blastomeres,endoderm,eye,fin.epithelia,gut,hatching.gland,mesenchyme,muscle,neural,paraxial.mesoderm,vasculature
  5-6,15.87,0,0,0,0,0,0,0,12.95,0,0
  7-9,0,4.06,0,0,0,0,0,0,15.35,3.8,0
 10-12,6.2,0,0,0,0,7.6,0,0,8,6.2,0
 24-34,0,0,0.85,0,0,0,0,0,0.61,0,0
 36-46,0,0,1.28,0,0,0,0,0.74,1.31,0,0
 48-58,0,0,0.89,0,0,0,0,0,1.02,0,0
 60-70,0,0,3.14,3.8,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.88,0,0
 84-94,0,0,0,0,0.58,0,3.63,0,0,0,0
 96-106,0,0,0,0,1.32,0,0,0,0,0,0
120,0,0,0,0,0,0,14.53,0,0,0,1.82
