stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,50.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.65,0,0,0,0,0,0,0,0,0
  5-6,17.85,96.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.72,57.05,3.27,0,0,0,2.87,0,0,71.72,0,0,0,0,0,66.02,0,0,41.3,63.28,0,3.4,0,2.19,0,0,1.93,0,1.91,6.06,11.76,0,59.68,0,0
 24-34,0,0,0,4.01,10.78,12.18,3.22,0,1.78,0,0.68,0,1.35,63.25,0,0,5.86,10.46,0,237.71,0,32.86,151.3,179.9,0,4.01,0.72,0,2.98,0,0,0,0,4.33,30.04,0,580.17,0,0
 36-46,0,0,0,0,8.7,32.35,5.62,3.18,1.28,0,1.31,0,1.48,81.97,0,8.56,1.17,0,5.63,201.31,0,88.16,276.5,146.11,1.01,0,0,0,3.09,0,4.53,0.65,0,0,32.09,13.67,687.09,0,0
 48-58,0,0,0,0,2.33,5.2,27.79,2.5,6.95,0,16.13,0,3.23,72.04,1.29,0,0.97,0,0,240.11,1.81,289.73,373.79,130.38,0,0,0.58,0,11.51,0,3.76,0.47,0,0,9.02,3.07,520.6,4.32,0
 60-70,0,0,0,0,0.6,0.81,19.88,49.5,0,0,2.48,0,1.43,66.14,0,0,0,0,0,149.17,0,296.28,293.57,120.86,0,12.45,0,0,13.52,5.7,0,0,0,0,13.99,48.83,499.88,69.7,0
 72-82,0,0,0,0,19.65,4.65,54.07,52.11,5.41,0,7.31,4.41,3,95.71,0,0,3.82,0,0,185.81,0,452.01,462.59,70.95,0,0,2.21,0,32.13,2.64,0,0,0,0,15.11,109.05,972.4,251.31,3.18
 84-94,0,0,0,0,3.78,0,37.55,76.02,0.8,0.77,1.43,1.96,4.9,147.38,1.68,0,4.01,0,0,194.41,0,475.24,303.66,54.22,0,0.57,0,0,19.36,4.47,0,0.62,0,0,2.85,50.3,969.17,286.38,0
 96-106,0,0,2.46,0,3.88,0,32.74,74.47,1.42,2.77,16.48,1.26,2.88,181.25,0,0,0.79,10.4,0,213,0,239.74,284.94,92.07,0,0.56,0,0,28.49,5.09,0,2.82,0,0,0,30.58,1123.89,328.2,1.13
108-118,2.12,0,0,0.98,4.46,0.54,34.39,56.89,1.64,0.94,16.87,0,4.63,117.55,1.18,0,0,3.06,0,266.94,0,186.6,261.86,75.99,0.85,0,0,0,38.96,4.32,0,4.53,0.67,0,0.96,36.21,1055.6,224.98,0
120,0,0,0,0,2.54,4.64,52.12,57.17,2.41,2.66,20.91,1.24,0,182.78,0,0,0,0,0,260.64,0,231.03,215.41,65.81,0,0,1.67,0,156.03,0,0,1.12,0,0,0,48.55,1358.29,243.75,0
