stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.37,82.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,0,0,4.09,0,7.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.14,3.16,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.22,26.19,2.62,0,0,0.88,0,0,0.92,1.01,0.95,0,0,0,3.63,0,0,0,2.69,0,0,0,0,0,10.02,1.23,1.05,0,0,0.82,0,0,0,1.62,0,0
 24-34,0,0,0,0,45.18,0,0,1.01,0.62,0,0,0,5.15,3.61,0,0,0,0.82,4.16,0,1.76,26.68,0,0,0,0,0,38.05,0,0,0,0,0.86,0.93,0,0,3.34,0,0
 36-46,0,0,0,0,68.14,0,0,3.91,3.13,0.75,0,1.06,2.2,13.63,0,0,0,5.04,1.91,0,0.95,8.03,0,1.69,0,0,0,43.69,0,0,1.34,0,0,0,0,0,18.52,0,0
 48-58,0,0,0,0,26.98,0,0,3.92,1.8,0,0,0,8.94,0,0,0,0,1.86,0,0,0,25.73,0,2.08,0,0,0,35.17,0,0,1.25,0,0,3.56,0,0,1.54,0,2.33
 60-70,0,0,0,0,24.33,0,0,14.26,7.44,0,1.29,0,8.67,0,0,0,0,4.63,0,0,0,4.75,0,0,0,0,0,33.29,0,0,0,0,0,1.07,0,0.57,5.45,0,4.46
 72-82,0,0,1.94,0,16.87,0.87,0,15.58,4.09,0,6.31,0,5.43,1.39,0,0,0,7.65,0,0,0.5,13.25,0,0.67,0,0,0,13.46,0,0,0.57,0,0,0,3.17,0,2.02,0,0
 84-94,0,0,4.4,0,62.34,0,0,4.25,8.63,0,13.7,0,24.01,0.65,0,0.57,0,4.53,0.62,3.22,0,22.92,0,2.22,0,0,0.6,92.39,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.11,0,38.11,10.46,0,15.8,3.82,4.63,9.08,0,27.8,2.92,5.01,0,0,8.38,3.69,0,0.57,10.54,0,1.51,0,0,0,74.09,0,0,0,0,0,0,4.94,2.03,7.53,0,0
108-118,0,0,0,0,56.11,0,0.49,13.9,17.36,0.79,4.79,0,28.37,1.43,0,2.93,0.53,12.72,8.34,0.65,0,7.56,0,0.43,3,0,0,65.71,0,0,0,0,0,0,6.58,0.54,5.6,2.81,0
120,0,0,1.22,0,63.74,0,1.11,1.5,1.22,0,5.65,0,26.55,0,0,0,0,0,0,0,0,37.43,0,6.68,0,0,0,42.97,0,0,1.22,1.6,0,0,0,0,7.66,0,0
