stage,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros
  3-4,11.12,0,0,0,0,0,0,33.86,0,0
  5-6,132.94,0,0,0,0,0,0,96.22,0,0
  7-9,7.54,7.57,53.81,0,181.19,0,45.01,226.89,0,0
 10-12,0,19.28,28.53,14.28,467.76,18.41,80.78,191.93,6.12,21.92
