stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.66,30.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.41,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.4,4.87,0,53.55,0,0,0,7.07,0,0,0,0,0,15.27,0,0,0,0,0,0,0,0,0,73.84,10.35,0,0,141.34,0,4.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.86,0,50.92,0,0,0,0,0,0,0,0,0,18.96,0,0,0,0,0,0,0,0,0,75.25,41.21,0,0,123.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,8.4,0.9,0,0.87,0,0,0,2.45,0,0,0,0,0,0,0,5.32,0,0,37.4,20.28,8.39,0,0.84,0.92,0,0,21.99,0.88,54.37,23.45,6.53,0,0,0,0,0
 24-34,0,0,0,0.59,8.48,0,0,4.07,0,3.43,1.02,0.89,0,0,0,0,0,0,0,10.67,0.81,0,16.42,86.98,7.03,2.33,3.89,0,16.44,0,0,0,254.41,9.57,16.87,0,0,0.96,0,0
 36-46,0,0,0,0,3.2,1.95,0,6.62,1.88,0,4.02,0,0,0,0,0,0,0,9.67,32.01,0,0,7.17,110.82,0,0,0,0,13.62,0,0,0,487.02,2.39,17.88,0,0,0,0,5.32
 48-58,0,0,0,0,5.8,0,0,46.23,6.13,0.76,2.84,12.85,0,0,0,0,0,1.05,0,34.84,1.11,2.41,8.98,195.61,6.98,0.91,0.38,4.77,2.9,0,0,0,392.87,0,39.17,0,0,2.18,0,7.12
 60-70,0,0,0,0,18.62,0,0,114.15,25.09,3.43,7.05,11.38,0,0,0.57,0,0,1.13,0,40.02,2.44,0,18.07,274.24,7.93,3.69,4.11,0.81,14.89,0,0,1.37,211.26,0,27.69,0,0,0,0,0
 72-82,0,0,0.78,0,4.67,1.46,0,151.79,20.37,0,1.8,9.99,1.2,0,1.8,0,0,0,0,40.09,0,0.51,16.25,312.12,2.82,1.8,0,1.13,0.99,0,0,0,122.32,0,25.69,0.56,1.91,1.19,0,5.97
 84-94,0,0,0,0,6.65,1.05,0,113.02,49.91,0,3.28,8.36,1.47,0,3.1,1.62,0,0,0,32.75,2.28,0,6.99,232.69,0.6,0,0.87,0,8.11,0,0,0,242.05,0,14.63,0,1.91,0,0,0
 96-106,0,0,0,0,4.1,14.89,0.62,132.4,54.75,1.53,7.08,20.98,1.05,0,6.11,0,0.58,0,7.55,29.19,1.47,0,10.2,329.62,1.64,1.05,5.35,0,10.12,0,0,0,263.13,0,14.55,0,0,0,1.44,8.81
108-118,0,0,0,0,7.91,0,16.65,52.7,65.53,2.93,1.95,7.2,0.47,0,2.49,0,0,0.51,5.45,18.21,0,0,9.94,246.71,3.07,2.53,0,0,9.31,0,0,0.72,191.12,0,12.13,0,0,1.89,0,0.95
120,0,0,0,0,4.52,0,0,71.64,50.75,0,0,15.99,1.12,0,2.14,0,0,0,0,11.4,0,0,11.67,339.6,0,0,0,0,2.27,0,3.36,0,83.03,0,12.95,0,0,3.67,0,0
