stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,118.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.26,107.1,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0
  7-9,0,7.9,0,0,0,0,0,9.59,0,0,0,34.2,0,0,0,0,0,0,47.88,4.71,0,0,22.93,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.13,0,0,0,3.66,0,0,0,0,0,0,44.57,4.54,0,0,40.87,0,16.26,0,0,0,0,0,0
 14-21,0,0,0,0,1.85,0.83,0,0,0,0,0,0,0,0,0,1.15,0,0,7.24,11.88,0,0,0,1.02,0,2.38,1.86,5.15,0,0,0
 24-34,0,0,0,0.68,1.16,0,0,1.63,0,0,2.19,0,0,0,0,6.23,0,0.72,19.75,0.63,0,0.75,0,2.15,0,0,0.68,4.89,0,0,0
 36-46,0,0,0,0.56,0.87,0,0,7.58,0,0.65,0.82,0,0,0,0,2.34,2.04,1,24.7,0,0,0,0,2.55,0,0,0,11.59,0,0,0
 48-58,0,0,0.44,0,0.48,0,0,6.31,0,0.89,20.91,0,0,1.03,4.28,0.97,0,1.32,18.34,1.01,0.73,0,0,1.17,0,0,0,7.77,0,0,0
 60-70,0,0,2.48,0,0,0.7,0,8.28,0,1.23,44.05,0,0.57,0,0,3.49,0,0,9.58,0,0,4.56,0,2.12,0,0,0,3.27,0,0,0
 72-82,0,0,19.09,0,0,2.42,0,17.48,0,3.24,128.63,0,0,0,4.84,4.34,0,1.23,40.17,0,0,0,0,1.31,0,0,0,0,0.67,0,0
 84-94,0,0,13.06,0,0,0,0,8.74,0,4.06,192.78,0,0,0,9.96,8.39,0,1.56,28.02,0,2.48,1.22,0,6.26,0,0,0,5.57,1.67,1.11,0
 96-106,0,0,14.85,0,2.74,0,0,29.38,2.91,2.86,237.75,0,0,0,4.97,6.38,0,0,58.87,0,0,2.43,0,1.39,0,0,0,0,0,0,9.61
108-118,0,0,12.4,0,0.44,0,1.51,10.33,0,0,275.28,0,0,0,7.75,4.96,0,0,38.08,0,0,0,0,2.12,0,0,0,4.77,0,1.69,0.59
120,0,0,26.61,0,5.72,0,0,0,3.99,0,299.08,0,0,0,0,13.46,0,0,51.36,0,0,0,0,2.8,0,0,0,0,0,0,0
