stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.41,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,14.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,15.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,1.76,0,0,0,3.36,0,0,0,0,0,6.78,0,0,0,0,0,0
 24-34,0,0,0,0,8.66,0.6,0,2.86,0,2.56,0.68,0,0.66,0,0,9.21,0.62,0,0,0,0.66,0,0,0,1.26,35.16,0,0.78,2.26,0,0,5.77,0,0,0,1.1,0,0.77
 36-46,0,0,0,0,70.11,7.49,0,17.26,0,23.04,0,0,0,0,0.57,92.69,0,0,0,11.93,0,5.63,0,0,5.21,209.49,0,4.54,0,0,0,7.15,26.48,0,0,0,0,8.02
 48-58,0,0,0.44,0,111.35,48.92,0,65.37,0,25.18,0.42,18.09,0,0,0,63.04,0,5.41,0,2.14,1.4,43.84,0.45,0,7.94,400.68,0,0,0,0,0.47,4.42,88.6,0,1.01,3.17,0,16.71
 60-70,0,0,0,0.85,129.35,38.39,0,281.1,0,56.81,1.21,25.87,17.12,0,0,58.62,1.33,0.72,1.09,6.47,0,65.22,0.62,0,10.78,338.8,0,0,9.91,0,0,6.98,133.5,0.61,8.08,1.88,0.89,43.33
 72-82,0,0,2.22,0,114.5,99.1,0,466.42,3.39,32.73,0.52,67.84,155.96,0,2.81,57.27,1.23,4.34,0.69,13.1,0,122.22,5.19,8.08,23,331.88,0,1.41,5.23,0,1.77,5.87,79.57,2.43,8.93,29.56,13.33,55.59
 84-94,0,0,3.51,1.04,246.59,122.46,0,421.14,0.87,56.83,1.89,19.13,295.28,0,0,90.56,8.83,18.59,2.87,23.53,1.36,138.17,3.72,3.77,15.11,234.61,0,0,2.01,0,2.22,32.43,50.23,12.2,9.01,8.69,21.52,68.48
 96-106,0,0,11.9,1.06,279.03,252.85,0,352.87,2.72,60.66,2.2,38.51,846.62,0,3.09,136.67,2.95,39.67,4.78,66.37,0,165.71,4.65,29.9,13.65,236.9,0.64,5.05,7.03,0,2.85,43.57,34.7,8.54,17.68,21.28,20.44,79.68
108-118,0,0,2.16,0.56,418.28,112.03,1.22,290.84,4.62,64.91,3.41,37.74,1369.45,0,0,73.78,4.89,77.91,3.21,95.31,1.97,164.72,3.92,7.55,12.01,309.37,1.46,0,5.27,0,1.49,91.7,24.58,15.99,3.02,19.71,23.83,33.78
120,2.37,0,0,0,340.7,147.48,0,213.3,1.43,74.83,0,66.35,1266.59,0,0,159.85,1.01,20.03,5.45,54.86,0,205.13,6.25,21.4,11.82,369.78,0,12.72,1.66,0,11,64.83,0,12.35,24.78,28.61,11.32,47.08
