stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,periderm,presomitic_mesoderm,pronephros,vasculature,xanthophores
  3-4,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,2.22,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,1.12,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,1.11,1.22,0,0,0,0,0
 60-70,0,0,4.02,0,0,7.23,0,0,1.62,0,0.6,0,0,0,5.24,0,0,0,0.82,1.77,0,0,0,0
 72-82,0,0,0,0.55,0,0,0,0,2.1,3.64,4.38,0.53,0,0,2.75,0,0,0,0,1.52,0,0,0,0.55
 84-94,0,0,0,0,0,0.6,0,0,7.38,5.37,1.88,0,0,0,5.08,0,0,0,0,4.58,0,0,0,0
 96-106,0,0.63,0,0,0,0.75,0,0,4.35,21.22,0.58,0,0,0,4.03,1.34,0,0,8.42,6.82,0,0,0.98,0
108-118,0,0.6,0,0,1.26,1.61,0,0,8.76,72.5,0.46,0,0,0,4.58,0,0,0,3.57,5.84,0,0,1.22,0
120,0,1.37,0,0,0,0,4.65,0,6.97,43.91,0,0,1.76,1.68,9.79,0,10.71,0,0,4.93,0,1.58,0,0
