stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,4.07,0,0,0,0,0,0,0,0,1.52,0,0,82.36,0,12.38,31.31,1.02,0,0,0,0,0,0,1.41,0,0
 24-34,0,0,0.77,1.41,0,0,0.61,0,0,0,0,2.75,6.16,0,0,152.37,0,46.28,17.65,0,0,0,0,2.16,0,0,0,0,0
 36-46,0,0,0,0.63,0,0,5.36,0,0,3.39,0,0,32.91,0,0,465.08,6.99,200.45,37.72,0,0,0,0.59,6.62,0,4.61,10.78,3.88,6.02
 48-58,0,0.46,0,0,0,0,12.84,0,0,4.9,0.87,1.37,22.88,0,3.07,402.39,5.94,73.24,30.97,0,0,0,0,3.45,0,0.61,0.41,0.65,0
 60-70,0,0,0,10.21,0,0,18.78,0,0,17.76,1.32,0,14.48,0,0,1154.31,3.26,163.64,72.16,0,13.8,0,0,2.29,0,8.06,7.32,6.47,0
 72-82,0,0,0,0,0,0,13.89,3.99,0,2.29,5.04,0,11.43,0,0,977.64,3.36,63.23,33.88,2.68,4.69,0,1.23,1.37,0,12.54,5.08,39.42,0
 84-94,0,0,0,3.67,0,0,19.58,0,0,6.17,12.29,0,30.75,0.91,0,785.99,14.24,55.98,29.82,1.39,9.8,0,0,0,0,3.47,20.58,32.57,0
 96-106,0,0,0,1.64,4.7,0.56,29.44,0,1.64,0.64,0.93,0.9,13.93,1.29,0,690.07,28.34,46.21,51.08,1.57,22.24,0,0,0,0,5.09,15.67,11.32,0
108-118,0,0,0,25.61,0,0,31.76,0,0,4.26,6.39,0,7.08,0,0,1045.61,3.41,17.04,31.46,3.01,16.52,0.6,0,0,0,12.74,0.95,0.65,0
120,0,0,0,0,0,0,37.99,0,0,1.96,5.66,1.34,1.91,0,0,841.01,70.53,30.29,45.04,0,36.55,0,0,0,1.81,34.78,20.82,2.27,0
