stage,epidermis,eye,heart,mesenchyme,neural,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0.86,0,2.78,0,0,0
 24-34,0,0,0.76,1.42,0.65,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,6.73,0,0
 48-58,0,0,0,0,2.92,6.37,0,3.35,0,0
 60-70,1.1,0.63,0,1.14,1.37,0,0,0.88,6.14,0
 72-82,0,0.51,0,0,6.16,0,0,0,0,0
 84-94,0,0.84,0,3.14,0,0,0,4.15,0,0
108-118,0,0,0,0,0,2.83,0,0,0,3.31
