stage,blastomeres,epidermis,eye,gut,hatching_gland,ionocyte,mesenchyme,mucous,neural,periderm,taste
  5-6,14.03,0,0,0,7.31,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.36,0,16.91,7.64,0,0
 36-46,0,7.97,0,0,0,0.74,0,25.45,0.56,0.61,0
 48-58,0,1.55,0.81,0.81,0,2.44,0,62.96,0.92,0.39,0
 60-70,0,0,0,0,0,12.19,0,35.78,3.57,0,0
 72-82,0,0,0,0,0,1.26,0,54.64,4.72,1.54,0
 84-94,0,3.7,8.05,0,0,1.54,0,73.99,0,0,0
 96-106,0,0,0,3.11,0,1.15,1.76,83.75,27.29,0,4.07
108-118,0,3.35,0,5.39,0,1.3,0,98.84,7.52,0,0
120,0,4.24,0,1.51,0,0,0,30.64,0,0,0
