stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,75.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.13,45.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,8.89,0,0,0,0,0,0,0,0,0,0,17.21,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0
 14-21,0,0,0,0,18.9,0,0.93,0,0,0,0,0,3.38,0,0,0,0.98,2.26,0,0
 24-34,0,0,0,0,158.18,0,0,0,0,0,0,0,8.3,0,0,0.61,0,8.44,0,0
 36-46,0,0,0,0,185.53,0,0,0.81,0,0,0,0.69,4.34,0,0,2,0,24.31,0,0
 48-58,0,0,0,0,61.01,0,0,0,0,0.6,0,0,1.99,0,0,0,0,10.52,0,0
 60-70,0,0,0,0.68,231.77,0,0,0,0,0,0,0,2.58,0,0,0,0,1.2,0,0
 72-82,0,0,0,0,219.97,0,1.73,0,0,2.48,0,0,7.16,0,0,0,0,4.04,2.28,0
 84-94,0,0,0,4.43,239.92,0,0,1.07,0,0,0,0,4.08,0,0,0,0,0,0,0
 96-106,0,0,4.39,0,254.89,0.86,4.6,0,0.7,1.12,0,0,5.86,0,2.72,0,0,0,0,0
108-118,0,0,0,0,322.82,0,0,0.56,3.15,3.62,0,0,4.73,0,0,0,0,0,0,2.08
120,0,0,0,8.89,519.21,0,3.02,0,0,1.4,10.79,0,12.94,6.75,0,0,0,10.36,0,0
