stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,32.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.08,0,0,0,13.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,39.62,0,0,1.66,0,0,0,0.84,0,0,0,0,0,0,0,0,8.95,0,0,3.07,343.65,0,0,3.29,0,0,1.62,1.96,1.11,0,2.82,114.15,0,0,0,0,0
 24-34,0,0,0,0,68.52,1.11,0,7.2,0,0,0,9.93,0,0.82,0,0.6,0,5.25,0,0,39.46,0.69,1.21,8.67,1853.49,0,1.09,15.86,0,0,3.99,0,2.81,1.1,0.75,350.94,0,0,0,0,0
 36-46,0,0,0,0,53.14,0,0,201.65,0,0,0.72,215.69,0,12.43,0,0,0,13.22,0,0,173.61,2.15,1.42,10.36,4224.44,0,0.67,14.75,7.09,0,4.71,0,1.32,0,0,564.94,0,0.85,1.41,0,9.67
 48-58,0.39,0,0.55,0,92.02,0,0,500.28,1.68,1.35,2.13,414.57,0.5,8.82,0.96,0.55,0.58,17.09,0,0.58,239.68,0,3.58,21.44,4669.33,0,2.15,21.3,0,0,24.39,0,1.69,0,0,424.66,0,0,2.54,0,13.91
 60-70,0,0,0,0,99.43,0,0,646.91,0,10.68,5.13,398.21,0,9.23,0,0,0,22.18,0,18.05,210.1,1.26,0,5.94,3996.53,0,0,29.59,0,2.76,10.57,0,3.25,0,0,295.93,0,0,8.19,0,11.36
 72-82,0,0,1.49,0,119.66,4.72,0,494.07,1.25,0.51,8.17,285.59,1.99,0.51,0,0,2.68,38.37,0,0,195.01,1.12,2.84,15.98,3262.38,12.99,9.13,86.62,0,8.4,11.81,0,0.67,0,0,193.36,0.5,0,5.48,3.05,6.77
 84-94,0,0,1.15,0,226.95,1.81,0,500.28,0.7,3.37,6.03,223.27,1.32,1.14,0.65,0.59,0.62,33.91,0,0,141.95,0,0,10.59,2222.7,1.31,2.62,93.59,0,2.68,103.76,0,5.87,0,0,136.87,0,0,0,0.75,11.2
 96-106,0,0,0,0,189.48,12.28,0.59,219.45,0,0.74,12.14,301.49,4.78,5.14,3.42,0,1.14,36.51,0,0,144.65,3.97,0,7.98,1540.56,0.87,2.62,101.14,0,5.94,19.99,0,4.83,0,0,95.95,1.68,0,11.77,3.24,5.74
108-118,0,0,0,0,126.14,1.75,0.69,306.7,1.03,1.68,8.04,244.26,0,2.07,0,0.47,0,16.87,1.6,0,121.65,0,2.76,25.8,2150.7,0,1.07,122.37,0,0,14.92,0,3.76,0,0,42.15,1.13,0,0,0,0
120,0,0,0,1.28,102.31,8.42,0,392.61,0,2.83,0,365.05,0,1.15,2.69,0,0,9.93,0,0,172.28,0,0,8.13,2717,0,3.27,114.4,0,2.63,17.54,0,16.06,0,0,48.12,0,0,0,0,0
