stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0
 14-21,0,0,0,0.96,0.85,0.88,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,62.93,0,2.98,1.88,0,0,40.43,0,99.38,8.96,0,0,0,0,0
 24-34,0,0,5.17,0,3.51,0,0.85,0,0.6,0,0,0,0,0,0,0,0,4.61,0,0,347.65,0,6.17,0,0,0,0,0,0.78,84.46,0,0,1.3,0,0
 36-46,0,0,1.92,0,0,0,0.66,0,0,0,1.16,0,0,0,0,1.16,0,2.24,0,0,816.3,0,2.07,0.61,0,0.73,0,0,1.67,149.55,0,1.04,0,0,0
 48-58,0,0,0.42,0,3.35,0,84.97,0,0,0,14.3,0,0,0,3.37,0.4,2.95,4.17,0,2.31,1643.29,0,0,2.97,0,4.18,0,0,0,216.99,0,0,1.09,0,0
 60-70,0,0,2.13,0,5.39,0,307.67,0,0,0,36.16,0,0,0,0,0,7.45,12.63,0,5.48,2645.32,0,0,3.81,0,0,0,0.65,0,275.97,0,0,0,0,6.14
 72-82,0,0,3.21,0,16.54,6.17,527.58,0,4.8,0,61.08,3.17,0,0,9.64,0.5,0,16.79,0,2.84,3245.04,0,0,4.51,0,1.2,0,0.97,0,174.34,3.4,0,1.54,0,10.36
 84-94,0,0,0,0,7.28,2.38,442.07,1.49,0,1.38,30.6,1.68,1.45,0.67,0,0.69,0.83,11.2,2.4,11.77,1861.81,2.32,1.06,9.85,2.48,14.83,0,0,0,106.7,0.6,0,0,0,5.98
 96-106,0,0,0,0,10.18,2.75,476.41,0,1.65,1.28,28.13,2.99,0,0,0.77,3.02,2.04,8.86,0,4.07,1765.59,0,0,14.31,1.51,10.34,0,0,0,82.24,2.03,0,0,0.61,0
108-118,0,0,0,0,12.78,0,318.36,2.81,0,0,37.15,0.78,0,0,0,1.38,5.07,26.08,0,3.21,1983.64,0,0,22.83,0,0,0,0,0,44.09,0,0,1.33,0,3.41
120,1.19,0,0,0,16.36,4.16,304.54,0,1.58,0,27.59,0,0,3.35,3.33,2.69,0,70.96,0,0,3014.09,4.31,0,17.3,0,1.06,0,0,0,82.12,0,0,0,0,0
