stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0
 10-12,3.84,0,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.9,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,3.11,0,0,1.28,14.71,4.01,0,0,0.94,0,3.04,3.02,0.81,3.91,10.16,0,1.63,0,0
 24-34,0,0.66,11.56,0,0,4.25,0.68,0,0,0,0,1.45,0,0,0,0,0,8.75,0,0,12.69,70.12,4.2,0,1.99,0,0,1.59,0,0.6,0.62,22.26,0,0.69,0,0
 36-46,0,0,0.6,0,0,13.2,1.36,0,3.93,0,0,0.69,0.56,0,0,0,0,15.32,0,0,1.59,70.27,3.25,0.91,0,0,0,4.7,0,0,0,24.79,0,2.88,0,0
 48-58,0,0,4.26,0,0,28.12,0.4,0.71,10.98,3.41,0,3.33,0,0,0,0,0,20.57,0,0,2.4,111.77,9.35,4.72,0,0,0,6.88,0,0,0,36.03,0,2.67,0,1.67
 60-70,0,0,0.72,0,0,35.31,0,0.89,18.13,0.72,0,0,9.25,4.64,0,0,3.16,33.21,0,0,0.57,69.13,1.81,0.58,2.25,0,2.09,16.89,0,0,0,13.05,0,4.51,0,1.56
 72-82,0,0.56,1.13,9.31,0,51.6,0,0.59,13.01,0.72,1.17,0,0.55,0,0.55,1.94,0,36.72,0,1.14,6.67,74.15,0,1.43,0.95,0,0,7.99,0,0,0,10.09,0.53,1.28,0.91,3.74
 84-94,0,0,5.19,0,0,34.29,0,1.89,3.14,5.22,0,0,0.75,0,1.03,0,0,36.49,0,2.88,0.58,53.49,2.22,0,4.42,0,0,1.83,0,1.11,0,8.22,0.78,1.68,0,0
 96-106,0,0,5.81,10.29,2.11,61.21,0,0,8.61,1.82,0,4.11,2.18,0.61,1.36,1,3.42,14.33,10.97,2.73,0,50.21,0.77,1.96,0.7,0,0,5.9,0,0,0,0,0,0.88,4.2,1.19
108-118,0,0,11.59,4.92,5.2,44.74,4.61,0,12.26,0.66,0,0.74,1.66,0.52,1.53,0,0,35.5,1.01,0,0,72.8,0,1.22,6.07,0,1.84,5.02,0,0,0,0,0.52,2.05,1.63,0
120,0,0,4.58,0,0,20.26,1.5,0,41.78,3.39,0,0,1.01,0,0,0,0,58.46,0,0,0,97.51,0,0,1.09,10.96,0,2.08,0,0,0,0,0,5.66,13.83,0
