stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2023.4,47661.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093.5,0,0,0,0,0,0,0,0,0,0
  5-6,5334.31,110002.99,0,0,0,0,0,0,0,0,0,0,44.17,0,0,0,0,0,0,0,0,0,473.71,260.52,0,0,157.73,0,1868.51,0,0,0,0,0,0,0,0,0,0
  7-9,655.76,1923.89,0,2367.78,0,0,0,6998.56,0,0,0,0,124.67,0,0,0,0,0,0,0,0,0,50703.69,3216.85,0,0,24004.11,0,101.32,195.99,0,0,0,0,0,0,0,0,0
 10-12,9.78,265.55,0,1123.19,0,0,0,2777.07,0,0,0,0,25.7,0,0,0,0,0,0,0,0,0,8809.49,181.52,0,0,9827.81,0,4.05,40.51,22.98,42.79,0,197.82,3.28,0,0,0,0
 14-21,0,0,0,24.1,11.74,3.04,0,2.57,0,0,54.43,0,0,0.92,0,0,0,0,57.02,0,0,80.49,142.35,49.92,0,0.86,250.35,0,0,0,141.52,0,151.66,512.68,479.83,0,0,0,0
 24-34,0,0,0.75,0.6,0.66,2.07,0,1.87,0,1.98,37.23,0,0,0,0,0,0,0,110.08,0,0,33.67,63.86,0.94,0,0,0,0,0.75,0,0,0,44.68,64.75,88.31,0,2.26,0,0.72
 36-46,0,0,0,0,0.61,0,0,7.16,0,6.76,4.26,0,0,0,0,0,0,0,100.28,0,0,13.81,41.45,0.67,0,0,0,0,0.55,0,0,0,22.82,0,24.21,0,0.6,0,0
 48-58,0,0,0,0,0,0,0,17.77,0.66,11.11,7.36,0,0,0,0,0.39,0,0.37,46.88,1.67,0,6.83,40.88,0,0,0.41,0,0,2.72,0,0,0,5.68,0,8.41,0,0,0,0
 60-70,0,0,0,0,0,0,0,13.31,0.58,1.86,5.6,0,0,0,0,0,1.55,0,57.84,0,0,0,77.11,0,0,0,0.81,0,2.09,0,0,0,10.47,0,1.26,0,0.84,0,0
 72-82,0,0,0,0,0,0,0,3.96,0,1.87,2.7,0,0,0,0,0,0,0,37.61,1.48,0,6.11,92.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.9,0,0,6.79,2.58,1.19,2.85,0,0,0,1.09,0,0,0,56.23,0,0,0,25.56,0,0,0,0,0,0,0,0,0.81,0,0,4.56,1.71,0,0,0
 96-106,0,0,0,0,0.57,0,0,10.45,0.73,1.69,7.92,1,0,0,0,0,0,0,32.02,0,0,3.09,102.76,0,0,0,0,0,0.78,0,0,0,7.97,0,2.16,0,0,0,0
108-118,0,0,0,0.74,4.24,0,3.89,0.42,0,0,5.93,0.78,0,0,1.53,0,0,0,28.83,0,0.45,4.79,17.69,0,1.71,0,0,3.66,4.78,0,0,0,0,0,0.72,0,0,5.03,0
120,0,0,0,0,0,0,0,19.55,0,0,0,0,0,0,1.28,0,0,0,52.94,0,0,0,166.03,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0
