stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,melanocytes,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,210.06,3134.33,0,0,0,0,0,0,0,0,0,0,0,0,70.58,0,0,0,0
  5-6,225.84,4942.26,13.2,0,0,0,0,11.6,0,0,154.48,40.87,0,38.02,64.19,0,0,0,0
  7-9,37.9,81.34,99.35,0,0,128.16,0,75.3,0,0,1486.21,49.18,0,481.68,0,0,0,0,0
 10-12,0,0,7.74,0,0,34.64,0,0,0,0,269.04,0,0,94.13,4.05,0,8.11,0,0
 14-21,0,0,1.32,3.96,1.7,1.78,0,0,0,0,20.62,0,0.84,0,0,1,0,2.36,0
 24-34,0,0,0,0,0,0,0,0,0,0.64,9.4,0,0,0,0,0,0,2.88,0
 36-46,0,0,0,0.62,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,5.62,1.18,0,0,0,1.28,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,10.9,0.94,0,0,0,3.81,0,0,0,0,0,0,0,0.9
 84-94,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,3.18
 96-106,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,2.73
108-118,0,0,0,0,0,0,0,0,0.47,0,2.32,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,9.29,1.03,0,0,0,0,0,0,0
