stage,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,neural,paraxial.mesoderm
  5-6,0,0,0,0,0,0,0,0,20.7,0
  7-9,8.66,0,0,0,0,0,0,0,7.71,6.63
 10-12,0,0,0,0,0,0,0,0,20.67,3.97
 24-34,0,0,0,0,0,0,0.72,0,0,0
 36-46,0,0,0,0,0,12.96,0,0,0,0
 48-58,0,0,0,0,0,0.86,0,0,0,0
 60-70,0,0,0,0,0,8.06,0,0,0,0
 72-82,0,0,4.44,0,0,2.59,0,0,0,0
 84-94,0,0,0,1.75,0,8.84,0,0,0,0
 96-106,0,0,1.5,0,0,5.52,0,0,0,0
108-118,0,0,0,0,0.99,5.04,0,0,0,0
120,0,1.32,0,0,0,9.94,0,1.55,0,0
