stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,82.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,240.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.29,0,0,0,4.05,0,0,0,0,0,0,0,0
 10-12,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,1.77,0,3.05,0,0.95,0.81,0,0,0,1.35,0,0,5.07,17.06,2.08,0,0,0,0,3.6,0,22.64,5.03,0,0,0
 24-34,0,0,1.19,0,5.91,0,0.95,0,0,1.75,0,7.91,0,0,0.71,71.84,0,0,0,0,2.41,0,2.17,3.62,13.94,12.66,0,0
 36-46,0,0,0,0,7.75,0,3,0,0,0,3.1,11.22,0,0,0,70.55,0,1.14,2.67,0,4.03,0,0,0,20.64,0,0,1.28
 48-58,0,0,5.82,0,16.5,0,4.19,0,0,11.94,0.54,4.89,0,0,0.62,28.91,0,0,0,0,0.37,0,0,0,11.77,0.44,0,6.79
 60-70,0,0,0.97,0,44.69,0,3.26,0.83,0,60.95,0,6.01,0,0,0.67,25.69,0,1.27,0,0,5.72,0,0,0,1.94,1.05,0,0
 72-82,0,0,0,0,10.5,0,2.12,0,0,108.69,0,14.87,0.79,0,0,27.06,0,0.53,0.56,0,0.49,0,0,0,7.12,0,1.41,0.89
 84-94,0,0,0,0,14.63,0.74,1.84,0.71,1.04,86.95,0,1.29,0,0.58,0,31.71,0,0,0,0,1.33,0,0,0,0,1.29,0,2.81
 96-106,0,0,0,0.66,10.55,0.62,3.78,0.98,0,144.39,0.71,5.78,0,0,0,9.69,0,0,0,0,0.56,0,0,0,0,1.52,0,0
108-118,0,0,12.03,0,27.24,0,5.36,0.7,0,101.71,2.29,3.46,0,0,0,21.19,0,0,0,0,0,0,0,0,1,0,0.44,2.37
120,0,0,1.14,0,2.87,0,20.01,1.38,0,268.1,0,13.64,0,2.58,2.44,36.48,0,2.15,0,0,0,0,0,0,1.91,0,0,0
