stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.06,0,1.17,0,0,3.79,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,2.09,0,0,0,0,0,0
 48-58,0,0,0,2.12,0,0,0.4,0,0,0,0.48,7.86,0,5.08,0.52,0.63,17.76,1.16,0,0.75,2.19,0,0,0.37,0,0
 60-70,0,0,0,2.88,0,1.81,0,0,0,0,0,6.4,0,4.69,0.85,0.76,0,0.83,0,5.69,0,0,0,0,0,0
 72-82,1.37,1.28,0,32.87,0,0,4.77,1.37,0,0.66,0,34.51,0,10.98,0,0.5,16.88,3.35,2,0,0.87,0,0,0,1.11,0
 84-94,1.89,3.58,0,6.61,0,1.24,0,1.67,0,0,0,42.08,0,4.69,0,0,17.06,0.56,1.27,0,0,6.05,0.92,0,0,2.9
 96-106,5.57,2.01,1.07,13.53,0,0,2.01,1.49,1.21,0,1.62,192.83,0,3.72,0,0,28.08,0,0,1.52,5.46,2.98,0,0,1.06,2.61
108-118,3.57,0,0,17.18,0.73,0,4.77,1.53,0.67,0,0,686.51,1.34,11.78,0,0,66.38,0,0,2.56,1.97,2.16,1.06,0.75,0,0
120,1.58,0,0,10.77,0,3.35,3.86,6.18,1.01,0,0,413.91,0,10.55,0,0,100.68,0,17.15,2.73,0,6.96,0,7.59,0,0
