stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 10-12,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.63,0,0,0,0
 14-21,0.81,9.96,0,0,0,0,0,0,0,0,0,0,5.18,0,59.61,34.08,0,0.84,0,0,9.62,1851.04,2147.98,14.38,0,0.93,0
 24-34,0,0.69,0,0,7.23,0.76,0,0,0.98,0.99,0,1.22,0.63,0,37.66,68.1,6.27,0,0,0,0,377.76,711.99,7.37,0,7.04,0
 36-46,0,0,0,0,5.85,0,0,0,0,0,0,0,1.35,0,21.86,7,0,0,0,0,0,34.57,13.24,6.21,0,23.09,0
 48-58,0,0,0,0,13.81,1.85,0,0,0,0,0,0,1.98,0,39.44,11.51,0,0,9.55,1.68,0,13.68,0,2.47,0,10.98,0
 60-70,0,0.57,0,7.26,46.45,0.82,0,0,0.6,0,0,0,1.81,0,39.75,3.48,0,0,0,0,0,11.81,0,5.23,0,16.09,1.24
 72-82,0,0,7.13,1.6,52.25,0.98,0,0.5,0.98,0,0,0,6.47,0,30.89,7.41,0,0,0,0,0,3.38,0,0.54,0,15.99,0
 84-94,0,0,0,0,58.26,0,0,0.7,1.46,0,0,0,3.37,0,17.43,17.51,0,0,0,2.62,0,4.51,0,0,0,8.87,0
 96-106,0,0.63,0,1.57,73.19,2.01,1.19,0,1.4,0,0,0,13.98,7.81,21.63,5.73,0,0,0,0.66,0,1.84,0,0,2.03,39.19,0
108-118,0,0,0,3.66,82.33,0,0.6,0,0.59,0,0.43,1.34,7.27,0,41.74,3.63,0,0,0,2.82,0,7.05,0,0,1.13,17.82,0
120,0,0,0,0,64.15,0,0,0,0,0,0,0,8.57,0,77.23,14.07,0,0,0,2.4,0,0,0,0,0,22.68,0
