stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.32,0,0,0,0,0,16.9,0,7.46,0,0,0
 10-12,0,14.5,0,0,0,0,0,0,0,0,17.86,0,0,0,0,0
 14-21,0,0,0,0,0,1.14,0,0,0,0,4.02,0,0,0,3.46,0
 24-34,0,0,0,0,0,0,0,0,0,0,14.56,1.09,0,0,2.9,0
 36-46,0,0,0,0,0,0.67,0,0.93,0,0,44.96,3.21,0,0,4.12,0
 48-58,0,0,0,0,5.47,0.72,0,0,0,0.47,64.75,0.7,0,0,11.87,0
 60-70,0,0,0,0,10.77,7.52,0,0,0,0,129.64,1.48,0,0,10.97,0
 72-82,0,0,0,0,32.14,0,0,0,0,5.94,164.2,0,0,0.75,33.51,0
 84-94,0,0,0,0,19.54,5.18,0,0,0,5.93,110.47,3.37,0,0,20.57,0
 96-106,0.63,0,2.06,0.92,29.72,4.52,0,0,0.77,0,116.38,0,0,0,0,0.81
108-118,0,0,0,0,65.18,4.33,0,0,0,0,123.83,1.6,0,0,2.6,0.71
120,0,0,4.34,0,21.32,3.22,0,0,0,0,353.4,1.15,0,0,21.52,0
