stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0.85,0,0,2.56,0,0,1.16,6.94,0,8.09,7.08,0,0,0,0,4.88,1.66,7.34,1.2,0,0,0,0
 24-34,0,0.61,0,0.88,0,0,0,0,0,0,5.89,0,22.04,11.94,0,1.36,0,3.49,0,0,1.25,2.76,0,2.88,0,0
 36-46,0,3.56,0,0.57,0,3.69,1.57,0,0,1.46,16.94,0,1.35,23.86,0,2.24,0,0,0,0,0,2.25,0,0,0,2.23
 48-58,0.86,0,0,3.54,0,7.28,0,0,0,9.43,9.44,0,1.35,31.18,0,3.79,0.39,0.38,0,0,0,15.51,0,0.77,0,0
 60-70,0,1.89,0,6.71,0,10.22,0,0,0,0,22.95,0,7.95,28.9,0,2.37,0,3.62,0,0,0,9.06,0,0,0,3.28
 72-82,0,0,0,13.97,0,10.58,1.5,0.9,0.83,0,13.38,0,4.93,42.13,0,2,0,0,0,0,0,2.4,0,0,0.54,2.27
 84-94,0,0.57,0,22.4,0,7.6,0,1.46,0,2.24,21.28,2.66,0,32.61,0.76,7.67,0,0,0,0,0,3.76,0,0,0.77,4.71
 96-106,0,4.73,0,6.89,0,22.12,0,2.49,0.65,0,11.07,0,3.45,29.38,0,2.05,1.54,4.84,0,0,0,4.84,0,1.25,0,5.94
108-118,0,0.42,4.84,21.63,0,13.17,1.44,0,0,0,20.66,0,1.85,26.6,0.77,3.97,0,0,0,0,0,0,1.53,0,0,1.31
120,0,5.7,1.58,7.15,3.49,20.7,0,0,0,0,9.27,0,4.12,40.69,0,0,0,0,0,0,0,0,0,0,0,0
