stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89,0,10.41,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,5.02,0,0,0,3.99,0,0,0,0
 14-21,2.72,0,1.77,0,0,0,0,0,0,0,0,1.83,0,0.9,24.3,2.36,0.85,0,0,0.87,0,3.8,3.57,0,0
 24-34,0.8,0,1.37,0,0,0,0,0,0,0,0,0.68,0,1.96,33.45,0,0,0,0,0,0,0,10.99,0,0
 36-46,3.05,0,6.01,0,0,0.81,0,0.64,0,0,0,0.97,0,0,48.23,0,0,0,1.41,0,0,0,6.28,0,0
 48-58,0,0,13.71,0,0,0,0.96,0,0.51,0,0,2.25,0,0.52,22.73,0,0,0,0,0,0,0,8.59,0.41,0
 60-70,0,1.4,12.08,0,0,0,0.85,0,0,0,0,0,1.05,0,14.47,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.51,0,0,0,0,0,0,0.65,0.88,0,1.46,0,0,7.68,0,0,0,0,0,0,0,1.5,0,1.43
 84-94,1.2,0,5.27,0,0,0,7.78,0,0,0,4.2,4.44,0,0,30.21,0.81,0,0,0,0,0,0,3.72,0,0
 96-106,0,0,4.56,4.47,0,0,0,0,0,0,0.65,5.76,0,0,13.71,1.6,0,1.6,2.72,0,0,0,0,0,0
108-118,0,0,3.52,0,0,0,0.48,0,0,0,0,1.23,0.5,0,10.84,0,0,0,0.44,0,0,0,0,0.42,0
120,1.6,0,1.76,0,1.13,0,9.47,0,0,0,0,5.42,0,0,24.26,0,0,0,0,0,0,0,0,0,0
