stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0,0,0,0,0,0
  5-6,27.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,30.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.24,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,50.99,0,0,0,4.69,0,43.7,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,2025.48,4.22,0,0,44.97,0,0,6.12,7.9,0,0,8.67,0,0,0,0,0
 14-21,0,1.32,1.77,15.33,4.24,0,16.82,0,0,0,240.53,1.94,0,1.04,0,0,0,0,0.85,4.9,0,0,4.02,3835.15,8.63,0,0,1.73,0,0,2.18,0,0,1.09,1649.75,0,0,0,0,0
 24-34,0,0.66,0.65,13.25,2.65,0,49.7,0,0,0,151.71,1.84,0,0,0.74,0,0,11.22,0,11.19,0,0,2.16,8744.77,0,0,1.06,0,0,4.79,2.13,0,0.78,2.73,2144.36,0,0,0,0,4.69
 36-46,0,0,0,5.8,10.21,0,81.82,0,0,0,275.19,0,2.89,0,0,12.95,0,3.07,0,12.84,0,0,2.3,9993.57,0,1.83,17.9,0,0,5.41,0,0,0,0,2763.46,0,0,6.48,0,12.97
 48-58,0,0,0,15,0,0,220.42,4.29,5.09,1.76,365.96,2.58,0,0,7.15,0.92,0.77,1.77,16.18,32.91,0.53,0.87,11.28,8358.22,0.45,0.47,2.01,0,0,1.16,0,0.49,0.77,0,1813.03,0,0,2.83,0,7.53
 60-70,0,0,0,11.06,0,0,124.99,0.79,0,1.24,346.91,0,0,1.14,0,13.09,1.52,0,7.36,46.91,0,0,4.93,7277.36,0,1.8,4.46,0,0,11.91,0,0,0,0,1061.28,0,0,1.45,0,2.85
 72-82,0,0.76,0,19.57,5.16,0,342.05,0,0.61,0,288.22,2.31,0,1.77,0,3.25,0.64,0,0,65.53,0,1.75,8.54,5558.26,0,5.58,14.23,0,0,8.91,0,0,0,0,722.84,0,0,6.55,2.12,15.31
 84-94,0,0,0,28.15,7.1,0,311.66,0,1.62,0,223.77,4.38,0,0.57,0,1.38,0,0,0,55.1,1.39,13.44,0.7,3988.78,2.45,3.34,1.42,0,4.14,4.28,0,0.56,0,0,565.87,0,0.69,4.14,1.73,23.33
 96-106,0,0,0,25.64,3.97,3.86,180.47,2.09,0.57,3.03,256.09,1.78,1.17,0.64,0,1.14,0.75,8.27,0,48.55,0,0.59,1.34,2661.1,0,2.08,1.96,0,0,12,0,1.88,0,0,224.59,1.68,0,0.61,1.33,13.58
108-118,0,1.56,0,24.81,6.15,0.42,153.06,0,1.09,1.3,224.25,3.21,0,3.28,0,0,0,1.44,0,23.4,1.04,4.98,1.72,3766.23,0,1.63,9.47,0,0,5.36,0,0,0,0,149.11,0,0.56,1.28,0,0
120,0,0,0,38.34,1.97,0,257.62,0,1.05,3.18,213.45,0,0,0,0,0,2.69,5.62,0,34.54,0,0,1.04,3775.88,0,0,23.66,0,0,10,0,0,0,0,118.56,0,0,0,0,0
