stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.67,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0
 14-21,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,21.84,0,0,0,0,2.01,7.1,0,0
 24-34,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,1.27,140.74,3.87,0,0,0.6,4.15,70.8,0,0
 36-46,0,0,3.44,0,0,0,0,0,2.1,0,0,0,0,0,0.8,0,0,259.07,0,0,0,0,0,93.53,0,0.67
 48-58,0,0,0,2.25,0,12.96,0,0,4.9,0,0,0,0,0,1.44,0,0.54,582.42,1.77,0.52,0,2.53,0,106.78,0.79,0
 60-70,0,0,0.65,8.83,0,19.44,0,0,36.26,0,0,0,0,2.53,5.96,0,0,813.57,0,0,0,0,0,65.35,0,0
 72-82,0,0,1.54,3.61,0,45.5,0.51,0.89,37.23,0,1.12,0,0,0,3.25,0.78,0,1035.81,0,0,0,0,0,48.36,4.33,0
 84-94,0,0,5.15,7.11,1.3,31.48,0,0,21.98,0,0,0,0,0,1.94,0,0,599.55,0,0,0,0.75,0,33.21,0,0
 96-106,0,0,0.67,8.74,1.77,36.32,0,0,43.71,0,0,0.66,0,0,9.48,0,0,693.36,1.44,1.89,0,0,0,30.72,1.73,0
108-118,0,0,0.45,3.17,1.01,37.24,1.53,0,43.87,0,0,0,4.29,0,3.1,0,0,849.98,1.98,0,0,0,0,6.79,0,0
120,0,0,1.43,8.24,1.25,28,2.33,0,18.56,0,0,0,5.59,0,0,0,0,894.44,0,0,0,0,0,14.17,0,0
