stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.66,269.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.09,270.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.38,0,7.29,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,134.09,9.92,0,0,12.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.9,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,23.02,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,2.9,1.15,0,0,0,0,0,1.29,0,0,0.88,0,0,0,0
 24-34,0,0,0,0,0,0,0.62,0,0,0.65,0.8,1.56,0,0,0,0,2.28,0,0.66,21.41,0,2.5,0,0,0,0.7,0,0,0,0,4.21,0,0,0
 36-46,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,2.18,0,0,25.25,0,0,0.8,0,0,3.19,0,0.74,0,0,8.51,0,0,0
 48-58,0,0,0,0,0,0,7.53,0,0,3.34,0,0,0,0,2.77,0,1.45,0.42,0,27.37,0,1.94,1.22,0,0,3.46,0,0,0,0,3.05,0,0,0
 60-70,0,0,0,0,1.02,0,13.96,0,1.62,1.09,0,0,0,0,0,0,7.95,0,0,54.57,0,1.44,0,0,0,0,0,0,1.84,0,4.67,0,0,0.69
 72-82,0,0,0.57,0,1.52,0,10.51,0,0,0,2.04,0,0.56,0,0,0,1.42,0,0,33.71,0,1.09,2,0,0,4.05,0,0,0,0,9.48,0,0,6.14
 84-94,0,0,4.58,0,5.38,0,10.22,0.66,0,0,0,1.02,0,0,0,0.72,13.53,0,0,19.22,0,0,0,0,0,7.41,0,0,0,0,1.95,1.11,0.83,0.89
 96-106,0,0,0,0,1.03,0,5.79,0,0,0,0,0,0.95,0.63,0,0,3.7,0,0,46.99,0,0,1.66,0,0,7.26,0,0,0,0,3.62,0,0.98,3.81
108-118,0,0,0,0,2.02,0,11.96,2.05,0,2.8,0,0,3.36,0.53,0,0,6.65,0,0,43.46,0,1.5,3.19,0,1.1,9.33,0,0,0,0,11.2,0,0.53,0
120,0,0,0,0,15.37,1.27,17.17,0,0,0,0,0,0,1.74,1.66,0,16.19,0,0,111.27,0,1.11,9.43,0,0,5.12,0,0,0,0,0,0,0,0
