stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,3.37,0,0,0,0,0,0,0,0
 14-21,0,0,0,32.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.94,0,0,0
 24-34,0,0,0,660.85,2.1,0,0,1,0,0,0,0,1.32,0,0,8.94,0.7,0,14.5,39.91,5.86,0,0,0,0,6.66,0,0,8.78,3.7,0,0
 36-46,0,0,0,571.61,1.98,0,0,1.04,0,0,0,0,0,0,0,4.29,0,0,2.01,42.14,0,0,0,0,0,0,0,0,10.08,0,0,2.75
 48-58,0,0,0.5,1276.38,19.85,0,1.61,3.41,0,0,1.09,0,0,0,0,3.29,0,0.75,0.48,73.77,2.93,0,0,0,0,0.59,0,0,13.75,1.4,0,0
 60-70,0.81,0,0,1486.98,58.5,0,0,4.34,0,0,20.03,4.27,0,0,0,24.76,0,0,0,80.43,0,0,0,0,0,11.47,0,0,10.08,0,0,9.08
 72-82,0,0,0,1677.42,37.06,0.82,4.75,4.32,1.61,0,14.51,0,0,0,0,100.43,0,0,0,124.74,0,0.53,0.76,0,1.67,1.22,0,0,15.46,4.22,0,8.71
 84-94,0,1.29,3.16,1706.63,29.64,1.02,0,5.12,0,0.85,4.09,0,2.27,0,2.33,68.43,0,19.29,0.78,79.64,1.41,0,1.68,0,0,4.67,1.37,0.8,2.14,6.86,1.66,0
 96-106,0,0,0,1925.42,39.59,0,0,6.87,0,0,37.46,0.82,0,0,0,51.75,2.18,16.09,0.9,46.43,0,1.44,0,0,0,4.8,0,0.58,2.71,3.19,2.3,0
108-118,0,0,2.99,1158.11,37.31,0,1.95,5.64,0.73,0,36.1,0,6.14,1.43,0,15.27,0,0,1.79,50.78,0,0,0,0,0,4.35,0,0,0,8.79,0,0
120,0,0,13.23,1207.65,27.72,0,0,29.39,0,0,74.93,0,0,0,0,18.32,0,0,0,88.27,0,0,3.9,0,2.54,0,0,0,1.95,0,0,0
