stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,33.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0
 10-12,0,0,0,8.26,0,0,0,0,16.42,0,0,0,15.83,0,0,0,0
 14-21,0,0,5.57,0,0,0,2.01,0,14.68,0,0,0,0,0,7.47,0,0
 24-34,0,0,0,1.94,0,0,0,0,32.59,0,0,0,0,0.65,10.34,0,0.85
 36-46,0,0,0,0.61,0,0,0,0,54.39,0,0,0,0,0,10.72,0,0
 48-58,0,0,0,7.56,0.59,0,0,0,134.04,0,1.15,0,0,0,17.91,0,0
 60-70,0,0,0,42.62,0.71,0,0,0,210.51,0,0,0,0,0,17.49,0,0
 72-82,0,0,0,40.42,2.51,0,3.24,0.56,257.54,0,0,0,0,0,11.13,0.52,0.81
 84-94,0,0,0,13.94,0,0,0,0,100.43,0,9.71,0,0,1.72,12.18,0,0
 96-106,0,0.61,0.88,23.94,2.88,0.58,1.06,0,194.28,0,0,2.01,0,0,9.61,0,0
108-118,0,0.8,0.98,24.09,2.59,0,0.64,0.99,94.63,0,1.82,0.48,0,0,2.41,0,0
120,0,0,0,41.86,0,0,0,0,147.46,0,0,0,0,7.65,5.94,0,0
