stage,epidermis,eye,fin_epithelia,fin_mesenchyme,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste
 14-21,0,0,0,0,0,0,0,0,0,3.57,0,0,2.06,0.93,0.81,0
 24-34,0,0.67,1.57,0,0,0,0,0,0,6.1,0,0,0,0.62,2.12,0
 36-46,0,0,0,0.57,0,0,0,9.12,0.6,8.83,0,2.65,0,0,1.93,0
 48-58,2.62,0.58,0.82,1.03,0,0,0,0,0.82,11.79,2.38,5.26,0,0,0.39,0
 60-70,0,2.51,0,0.62,0,0,0.88,3.36,0,17.96,1.71,1.06,0,0,2.33,0
 72-82,0,0,0,0,0,0,0.69,0,2.23,6.06,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.27,0,5.79,0,0,0,0
 96-106,0,0,0,2.93,0,0,0,3.56,0.81,0,0,1.63,0,0,0,0
108-118,0,1.28,0,0,0,0.45,0,0,0,10.08,0,0.56,0,0,0,0.51
120,2.2,0,0,0,1.24,0,0,6.88,0,25.61,0,3.74,0,0,0,0
