stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.72,41.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,8.47,4.44,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27,7.71,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,0,0,0.81,0,0,0,0,0,6.21,0,0,0,6.54,0,0,0,0,1.72,4.9,0,0,0
 24-34,0,0,0.66,0,0.98,0,0,0,0,1.31,0,0,0,0,0,5.02,3.86,0,1.23,80.29,0,1.08,0,0,1.75,24.44,0,0,0
 36-46,0,0,0,0,0,0,0,16.1,0,3.53,0,0,0,0,0,6.39,2.07,0,0,89.57,0,0,0,0.66,0,26.49,0,0,0
 48-58,0,0,0,0,0,0,0,21.05,0,6.28,0,0,0,0,0,0,2.8,0,0.59,102.28,5.25,0,0,0,0,25.78,0,0,2.71
 60-70,0,0,0,0,3.21,0,0,107.7,0,21.37,0,0,0.8,0,0,0,7.02,0,0,58.77,0,0,0,2.38,0,18.15,0,0,0
 72-82,0,0,1.5,0,0,0,0,172.14,0.78,33.45,2.41,0,1.35,0,0,2.65,15.86,0,0,130.11,0.55,0,0,0,0,9.58,0.52,0,3.63
 84-94,0,0,0,0,3.05,0,1.17,44.18,0,37.23,0,0,0,0,0,10.76,7.14,1.37,0.98,63.41,0,0,0,0,2.63,10.71,0,5.09,4.52
 96-106,0,0,4.16,0,0,0,4.81,30.91,0,12.74,2.36,1.02,0,0,1.48,14.48,2.99,0,0,30,0,0,0,0.88,0,5.03,0,0,8
108-118,0,0,0.41,0,1.49,0.5,10.16,52.95,0,19.15,3.98,0,1.6,0.85,0,36.09,8.38,0,0,39.4,0.42,0.44,1.95,0.49,3.67,2.11,1.68,0,5.73
120,0,0,0,0,0,0,18.24,43.75,0,12.14,6.32,0,0,0,0,53.61,0,0,6.22,116.07,0,0,0,0,11.09,0,0,0,0
