stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.56,226.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0
  5-6,14.3,257.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0
  7-9,0,6.21,0,8.47,0,0,0,7.88,0,0,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,231.91,0,0,0,19.64,3.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.86,0,0,0,0,0,0,0,172.22,0,0,0,0,0
 24-34,0,0,0,0.61,0.64,0,0,5.81,0,0,0,3.07,0,0,0,0,0,0,0,0,1.47,0,0,0,505.58,0,46.86,0.75,0,3.05,0,0,444.64,0,0,0,0,0
 36-46,0,0,0,0,0.68,1.39,0,18.34,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,799.81,0,65.11,0,0,19.7,0.58,0,477.65,0,0,1.34,0,0
 48-58,0,0,0,0,4.12,0.45,0,67.37,0,2.41,18.15,0,0,0,0,0,0,0.77,0,1.57,13.97,0,0,0.51,1295.04,3.15,23.92,0.43,0,6.64,0.62,0,325.57,0,0,0.75,0,0
 60-70,0,0,1.23,0,4.71,0,0,203.9,0,0.73,8.7,0,0,2.87,1.42,0,16.02,0,0,9.05,25.13,0,10.43,0.75,2164.86,0,37.86,0,0,5.69,0,2.97,314.45,0,0,5.76,0,18.09
 72-82,0,0,0,0,4.08,12.13,0,451.44,0,6.68,52.98,0,0,0,2.16,0.53,1.66,0,0,0,20.86,0,0,0,2578.53,0,51.47,5.73,0,12.66,0,0,198.74,0,0,4.47,0,4.94
 84-94,0,0,0.56,0,4.94,11.08,0,374.63,1.02,1.52,37.79,0,0,0,1.24,1.52,1,0,9.98,5.31,24.12,2.46,1.13,3.58,1829.65,0,35.86,0.84,0,2.94,0,0,149.42,0,1.91,2.14,0,6.95
 96-106,0,0,0,0,5.78,23.98,0,327.47,3.97,0,20.03,0,0,2.33,2.57,0.6,0,0,0.7,0,37.19,0.76,0,0,1503.8,0,55.34,1.83,0,5.39,0.69,0,89,2.95,0,6.39,2.34,0.58
108-118,0,0,0,0,8.97,11.45,7.88,336.01,0.78,0,49.08,0.45,0,0,0.64,0,0,0,9.08,0,21.44,0,0,2.89,1943.09,0,33.52,0.58,0,2.02,0,0.53,68.57,2.45,0,2.19,0.66,0
120,0,0,0,0,39.66,0,15.5,335.67,0,20.58,30.4,0,0,0,8.72,0,0,0,3.32,0,27.09,0,12.66,14.58,3011.08,0,103.2,2.59,0,19.84,0,0,100.66,0,0,24.18,0,0
