stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0
 10-12,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,6.8,0,0,0,0,0,0
 14-21,18.01,7.58,0,0,0,0,0,5.08,0,0,0,12.1,0,0,13.25,0,0,0,0,0,0.86,0,0,0
 24-34,16.45,0,0,0,0,0,0,2.31,0,0,0,22.36,0.64,0,8.93,0,0,0,0.81,0,0.78,0,0,0
 36-46,2.66,0,0,0,0,0,0,0.78,0,0,0,41.87,0,0,15.45,13.26,0,0,18.12,0,5.32,0,0,0
 48-58,0,0,0,0,0.6,0.52,0,5.77,0,0,0,37.35,0.39,0,6.82,0,3.57,0,0.89,0,6.09,0,0,0
 60-70,0,0,0,0,0.63,0,0,0,0,0,0,20.38,0,0,2.5,0,0,0,0,0,0,0.72,0,0
 72-82,0,0,0,0.5,10.95,0,1.97,3.29,0,0,0.91,55.99,0.51,0,3.49,0,0,0,0,0,0,1.7,0,0
 84-94,1.75,1.95,0,1.78,7.27,0,0,2.4,0.55,2.36,0,179.89,0,0,6.02,0,0,0,1.49,0.7,0,0,0,0
 96-106,2.9,1.22,5.42,3.09,10.42,0,4.26,1.36,1.43,0,0,554.34,1.3,0,74.29,0,0,0,3.85,0,7.42,0,0.69,0
108-118,1.25,0.99,0,11.08,12.48,0,12.13,0.54,0,0,0,1239.22,9.11,0,64.37,0,0,0,9.74,0,0,0,1.28,2.86
120,0,0,0,3.69,1.13,0,7.54,8.01,0,0,0,767.92,13.31,2.21,53.6,0,0,0,1.37,0,0,0,0,0
