stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,39.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.85,208.72,0,0,0,0,0,0,0,0,0,0,0,23.05,0,0,0,6.56,0,0,0,0,0,0,0
  7-9,3.49,0,0,0,0,0,7.14,0,0,0,0,0,0,141.19,0,0,0,27.14,0,0,0,0,0,0,0
 10-12,0,0,3.76,0,0,0,5.35,0,0,0,0,0,0,69.79,27.29,0,0,29.35,0,0,13.47,0,0,0,0
 14-21,0,0,0,3.61,0.83,0,0,0,0,0,0,0.88,0,8.62,0,0,0,0,0,2.17,0.89,1.17,2.09,0.85,2.31
 24-34,0,0,0,1.48,0,0,0,0,0,0,0,0,0,2.3,0,0,1.71,0,2.05,0,0,2.15,0,0.62,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.02,0,1.07,0,0,0,0,10.89,0,0,0,0,2.46,0
 48-58,0,0,0,0,0,0,2.21,0,0,0,0,0,0,6.39,0,0,8.22,0,2.34,0,0,0,0,0,0.44
 60-70,0,0,0,0,0,0,0,0,1.57,0,0,0,0,8.98,0,0,0,0,4.88,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.58,0,0,0,1.05,0,0,13.11,0,0.58,0.5,0,3.62,0,0,0,0,2.25,0
 84-94,0,0,0,0,0,0,2.1,0,0,0,0,0.56,0,0,0,0,0,0,2.97,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,0,0,1.54,0.83,0,0,0,0,2.59,0,0,0,0,1.36,0,0,0,0,0,0
108-118,0,0,0,0,0,3.4,1.03,2.2,0.47,0.63,0,0,0,2.51,0,0,0.98,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.42,0,0,0,1.26,0,0,0,3.28,0,0,0,0,0,0,0,0
