stage,axial,blastomeres,epidermis,eye,hatching_gland,heart,immune,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,32.68,0,0,0,0,0,0,0,0,0,0,42.49,0,0,0,0
  5-6,8.85,22.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.83,0,0,0,0,0,15.65,3.83,0,0,0,0,0
 10-12,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.61,0,0
 24-34,0,0,0,0,0,0,0,0,0,1,7.43,0,0,0.65,0,0,0.6
 36-46,0,0,0,0,0,0,0,0,0,0,19.34,0,0,0,0,3.36,1.23
 48-58,0,0,0,2.37,0,0,0,0,1.11,0,13.21,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,0,1.05,0
 72-82,0,0,0,0,0,0,2.83,0.74,2.02,0,14.85,0,0,0,0,0.97,0
 84-94,0,0,0,0,0,4.69,2.9,1.6,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.84,0,13.33,4.68,0,0,0,4.07,0,0,0,0,1.9,0
108-118,0,0,0,3.73,0,20.67,4.44,0.52,4.39,0,1.82,0,0,0,0,0,0
120,0,0,4.09,29.94,0,2.29,3.25,0,0,2.54,4.05,0,0,0,0,0,0
