stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.7,0,0,0,0,0,0,0,0,13.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,1.63,0.85,0,0
 24-34,0,0,1.18,15.77,0,0,0,0,0,2.81,0,0,14.64,0,0,0,0,1.07,3.43,0,0
 36-46,0,0,10.73,37.07,0,0,0,0,0,0,0,0,3.28,0,0,0,6.1,2.65,0.56,0,0
 48-58,0,0,17.12,35.31,0,0,0,0,0,0.83,5.18,0,14.12,0.99,0,0,0,7.05,0.46,0,0
 60-70,0,0,0.88,9.48,0,0,0,0,0,12.89,0,0.67,16.85,0,0,0,0,0,0,0,0
 72-82,0,0,0.78,37.13,0,0,0,0,0,8.59,17.19,1,21.26,0,0,0.53,1.41,0,0,0,0
 84-94,0,4.16,0.78,64.81,0,0,1.61,0,0,21.78,29.88,0,8.55,0,0,0,0,0,0,0,0
 96-106,0,0,0.8,79.09,0.94,0,4.2,0,0,30.12,42.87,0,11.66,0,0,5.98,0,0,0.62,0,0.75
108-118,0,0,2.02,125.99,0.67,0.96,3.53,0,0,35.96,58.66,0.76,38.3,0,0.48,32.51,0,0,0,0,0
120,0,0,9.75,244.08,0,6.47,0,1.48,18.93,50.98,89.4,10.97,15.54,2.55,0,18.65,0,0,0,4.54,0
