stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.11,188.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.11,252.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.36,0,6.85,0,0,0,25.56,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,134.89,8.8,0,0,41,0,0,0,0,0,0,0
 10-12,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.23,3.71,0,0,56.98,0,0,0,0,0,0,0
 14-21,0,0,0.87,4.96,2.02,0,0,0,0,0,0,1.08,0,0,0,0,0,0,1.4,0,0,1.01,43.92,0,0,1.65,1,1.43,0,10.69,7.54,1.43,0,0
 24-34,0,0,0,0,0,0,1.88,0,0,0.89,1.02,0,0,0,0,0,0,0,9.92,0,0,2.75,63.95,0,0,0,0,0,0,1.6,12.29,0,0,0
 36-46,0,0,0,2.83,0,0,16.95,0,0,0,0,0,0,0,0,0,0,0,8.07,0,0,0.88,34.75,0,0.59,0,0,0,0,0,12.91,0,0,0
 48-58,0,0,0,0.66,0,0,135.88,0,0,0.46,1.25,0,0,0,0,0,0,0,7.38,0,1.8,0,41.57,3.05,0,0,0,0.72,0,0,12.07,0.76,0,0
 60-70,0,0,0,0.84,0,0,347.89,0,0,0,1.42,0,0,0,0,0,0,4.76,14.02,0,0,2.19,53.82,0,0,0,0,0,0.58,0,8.62,0,0,0
 72-82,0,0,0,0,0,0,283.08,0,1,0,5.39,0,0,0,0,0.53,0,0,14.64,0,0,0.69,64.02,0,0,1.32,0,0,0,0,1.14,0,5.77,2.27
 84-94,0,0,0,2.84,0.84,0,310.75,0,0,4.68,6.21,0,0,0,3.88,0,0,0,7.7,0,0,0.77,46.85,0,0,0,0,0,0,0,11.9,1.35,0,0
 96-106,0,0,0,0,0,0,386.98,0,0,0,4.06,0.94,0,2.91,0,0.63,0,0,5.56,2.03,0,0,22.22,0,0.81,0,0,1.87,0,0,0.87,0,0,0
108-118,0,0,0,1.69,0,0.65,547.13,3.03,0,0,9.94,0.96,0,0.81,0,0,11.96,0,12.8,0,0,1.2,29.46,0,0,0,0,1.53,0,0,9.64,0,1.53,0
120,0,0,0,8.28,0,0,216.52,0,1.12,5.01,0,0,0,0,0,0,0,0,9.48,0,0,2.85,54,0,2.15,0,0,0,0,0,0,0,0,0
