stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.73,251.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0
  5-6,16.55,203.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.5,5.88,0,0,0,0,0,10.18,0,0,0,0,0,11.42,0,0,0,0,0,0,0,0,0,0,0,194.8,7.95,0,0,54.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,31.54,0,0,0,0,0,11.83,0,0,0,0,0,0,0,0,0,0,0,223.8,22.3,0,0,76.6,0,0,9.77,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.13,4.27,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,1.37,39.57,0,0,0,1.12,1.16,3.84,0.86,5.19,11.6,0,0,0,0,0
 24-34,0,0,0,1.55,6.14,0.9,0,4.36,0,0,0,0.77,0,0,1.49,0,0.72,0,0,0,6.79,10.39,0,0,2.26,110.27,0,4.46,1.39,0,4.52,0,1.12,3.08,27.4,0,0,17.17,0,24.93
 36-46,0,0,0,0,1.96,0,0,15.98,0,0.88,0,15.49,0,0,0,0,0,0,1.16,0.85,5.25,8.72,0,0,3.48,125.85,1.14,1.12,0,0,0,0,0.7,0,36.48,0,0,10.34,0,9.52
 48-58,0.58,0,0,0,0.41,0,0,25.4,0,0,2.64,8.77,0,0,4.81,0.52,0.47,0,1.04,0,2.8,18.47,0,0,2.46,80.29,0,3.94,0,0,1.81,0,0.42,0,29.5,0,0,0,0,13.04
 60-70,0,0,0,0,1.65,0,0,41.24,0,1.31,1.63,7.67,0.83,0,0,0,22.44,2.76,0,0,3.2,12.94,0,0,0.68,78.86,0,4.57,0,0,7.77,0,1.06,0,19.94,0,0.57,12.23,0,18.67
 72-82,0,0,0,0,0,0,0,62.1,1.57,0,2.11,6.82,0.92,0,0,3.35,0,2.8,0,1.73,0,24.95,0,0.62,1.75,74.37,0,5.55,3.49,0,0.62,0,0,0,6.63,1.51,1.45,12.44,0,34.63
 84-94,0,0,1.01,0,1.8,0,0,48.95,0,1.5,0.87,8.15,4.15,2.46,0.98,2.27,0,1,0,1.22,5.83,39.02,1.01,1.08,3.38,60.5,0,0,4.15,0,6.76,0,2.28,0,19.79,3.26,0.88,6.87,3.12,15.99
 96-106,0,0,1.23,0,3.62,0.78,0,90.36,0,0,1.88,39.67,4.02,0,0,1.55,1.77,8.25,0,0,1.33,20.68,1.49,0,2.42,85.66,0,6.59,1.36,0,2.43,0,3.83,0,0,2.32,0,9.7,0,11.15
108-118,0,0,0,0,4.27,0,6.59,96.88,0,0.95,0,12.11,4.29,0,0,0,2.85,5.17,1.02,1.1,0,31.49,0,0,2.55,66.04,0,4.88,0.63,0,2.28,0,0,0,0,2.54,0,13.52,0,15.01
120,0,0,0,0,2.08,0,0,41.46,0,0,0,28.39,5.1,0,10.68,10,0,1.01,0,2.49,0,18.9,0,0,0,88.78,0,3.45,0,0,2.73,0,6.06,0,0,0,0,1.1,0,12.54
