stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.32,2426.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.1,0,0,0,0,0,0,0
  5-6,131.76,1767.44,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.36,0,0,0,10.29,28.52,0,0,0,0,0,0,0
  7-9,24.88,34.22,7.91,0,0,0,34.98,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,457.98,12.83,0,0,145.59,0,5.28,0,0,0,0,0,0
 10-12,0,0,23.88,0,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.9,0,0,0,23.69,0,6.79,0,0,0,0,0,0
 14-21,0,0,0,3.89,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.97,0,8.35,0,0,0,11.89,0,0,0,0,0.96,0,0,0,5.65,0,0,0
 24-34,0,0,1.4,1.36,0,0,5.94,0,0,0,0,0,3.45,0,0.81,0,0,0,2.2,2.07,0,0,0,15.41,0,0,0,0,14.42,0,0,0,2.62,0.87,0,0
 36-46,0,0,0,3.81,0,0,0.65,0,1.19,0,0,0,0,0,0,0,0,0,1.94,2.17,0.58,0,0.79,13.34,0,1.3,0,0,11.66,0,0.82,0,4.31,5.8,0,0
 48-58,0,0,0,1.24,0,0,3.22,0,0,0.7,0,0.43,0,0,0,0,0,0,1.72,2.35,0.53,0,0.64,17.32,0,0,0,0,7.71,0,0.52,0,2.76,8.12,0,5.57
 60-70,0,0,0,0,0,0,9.31,0.69,0.59,10.47,0,0,0.84,2.28,0,0,0,0,0,1.37,0.73,0,0,10.68,0,0,0,0,18.75,0,1.82,0,1.71,1.59,0,8.39
 72-82,0,0,0,1.55,0.76,0,22.94,0,0,4.34,0.63,0,0,0.61,0.53,0.65,1.2,0,0,2.89,1.23,0,0,1.63,0,0.75,0,0,21.53,0,0.61,0,0,9.91,2.06,5.74
 84-94,0,0,0,7.4,1.99,0,16.28,0,0,2.53,4.83,0,0,4.8,1.34,0,0,0,2.81,4.53,0,0,0,11.29,0,0,0.63,0,70.98,0,4.81,0,0,7.63,0,6.97
 96-106,2.68,0,0,14.41,9.9,1.23,11.13,0,0,2.54,5.59,0,0,6.91,0,1.74,0,0,2.25,4.7,0.69,1.1,0.95,13.68,0,2.1,0.96,0,36.94,0,2.19,0,4.05,12.19,0,3.5
108-118,0,0,0,3.95,4.68,0,6.19,4.98,3.17,3.01,11.32,0,0,3.35,1.46,3.48,0.48,7.55,0,6.42,0,0,0.49,2.73,0,1.56,1.55,0,23.97,0,0.93,0.43,3.62,2.04,0,2.87
120,0,0,0,9.84,0,0,3.39,0,4.63,0,19.34,0,0,6.04,0,3.5,0,1.84,3.24,4.16,0,1.38,5.65,1.97,5.39,3.86,0,0,52.23,0,0,0,0,5.99,0,15.85
