stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,81.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.77,357.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0
  7-9,0,0,4.2,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.81,0,0,12.12,0,0,0,0,0,0,0
 10-12,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.66,0,0,29.19,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.08,1.47,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0.86,22.62,0.95,0,0,2.51,5.45,8.57,0,0,0,0
 24-34,0,0,0.7,1.56,0,0.83,0.94,0,0,0,0,0,0,0.82,0,0,2.13,0,0,2.51,34.42,0,0,0,2,0,0,10.5,0,7.85,0
 36-46,0,0,0,0,1.21,2.59,0,0,0,1.5,0,0,1.34,0,0,0,6.46,0,0.8,0,15.2,0,0,0,7.33,0,0,7.08,0,0,1.12
 48-58,0,0,0,0,0,3.21,1.65,0,0,0.49,0,0,0,0,0.56,0,4.9,0,0,0,5.68,0.39,0,0,5.47,0,0,1.89,0,0,0
 60-70,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,1.72,0.84,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.63,8.61,0,0,0,0.62,0,0,0,0,0,0,3.99,0.58,0,0.85,13.72,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.45,0,10.28,0,0,0,0,0,0.76,0,0,0,2.11,2.69,0,0,1.11,2.42,0,0.56,0,26.27,0,0,0.78,0,0,0
 96-106,0,0,0,0,1.5,0,0,1.22,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0.9,0,0
108-118,0,0,0,4.65,0.42,12.94,0,0,0,0,0,0,0,0,1.02,0,1.27,0,0,0.55,10.42,0,0,0,5.58,0,0,0,0,0,0
120,0,0,0,0,0,9.66,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0
