stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,9.91,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.56,0,13.39,0,0,0,0,0,0,18.22,0,0,0,0,0
 24-34,0,1.86,0,0,0,0,3.39,0,0,0,0.9,0,0.68,0,1.23,0,0,0,0,1.28,0,0,0.94,366.55,0.62,75.68,0,0,0,1.32,0,0,115.72,0,0,2.71,0,0
 36-46,0,0,0,0.72,0,0,20.74,0,0,0,5.8,0,0,0,0,0,0,0,0,3.09,0,0,0,1330.92,0,164.23,0,0,0,10.34,0,0,439.51,0,0,0,0,0
 48-58,0,0,0,0.47,0,0,110.68,0.47,2.85,0,8.15,0,0,0,0,0.51,0,0,0,8.2,0,0,0.48,1354.59,0,94.57,4.21,0,0.39,4.24,4.54,0,397.02,0,0,0.56,0,5.97
 60-70,0,0.91,0,7.02,0,0,243.66,0,0,0,7.54,0,0,0,0,1.16,1.13,0,0,5.68,0,0.81,0,2265.28,0,113.93,0,0,0,0,0,0,529.87,0,0,0,0,6.78
 72-82,0,0,0,6.3,4.29,0,376.83,0,3.78,6.01,24.93,1.05,1.07,1.66,0,0,0,0,1.89,29.52,0,0,1.73,2370.93,0.56,114.42,0.75,0,0,10.79,0,0,434.04,0,0,5.29,0,11.88
 84-94,0,0.7,0,17.34,13.89,0,359.97,0,0,0.77,32.63,0,0,0,0.69,0,0,2.07,0,10.44,2.46,0,0,1733.81,0,126.11,2.01,0,0,6.05,0,0,296.14,0,0,0,2.38,9.94
 96-106,0,3.59,0,17.18,22.44,0.6,417.84,0,0,1.05,43.06,0,0,9,1.22,3.6,0,4.97,0,40.17,0,1.84,3.41,1894.15,0,187.82,0.77,0,0,5.16,1.33,0,160.64,0,0,2.4,1.33,0.8
108-118,0,0,0,28.95,0.57,1.5,444.66,1.74,1.12,0.5,51.64,1.75,0,0,0,0,0,1.91,2.82,32.96,0,0,0.85,3027.84,0,147.76,0,0,0,3.79,0,0,201.8,1.35,1.35,8.28,0,5.28
120,0,0,0,25.37,0,1.79,509.17,0,11.95,0,64.78,0,0,2.3,2.21,3.86,0,0,0,47.28,0,0,6.51,4137.77,3.33,83.42,0,0,0,29.17,4.78,4.15,184.25,0,0,5.12,0,0
