stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.47,950.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.73,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.77,862.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.08,0,0,0,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.7,0,0,0,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.4,7.47,0,0.88,0,0,0,0.98,0,0,0,0,0,0,0,0,0,1.89,0,2.38,28.06,0,0,0,0,0,7.56,1.58,1.9,0,0,3.19,14.6,0,0,0,0,0
 24-34,0,0,0.71,0,9.7,0,0,2.81,0,0,0,0,0,0,0,0,1.73,0,0,0.67,0,4.55,0.63,4.08,40.17,1.5,8.18,6.03,0,0,35.56,0,0,1.5,0,0,12.74,0,0,3.56,0,0
 36-46,0,0,0,0,3.33,0,0,11.08,0,7.37,0.6,5.27,2.14,0,0.89,0,0,0,0,0,0,8.71,0.95,2.27,48.24,0.63,9.16,6.7,0,0,35.08,0.81,0,0,0,0,9.84,0,0,3.12,0,0
 48-58,0,0,0,0,8.41,0,0,33.41,0,1.85,0,17.43,0,0,0,6.08,1.67,0,1.57,0,0,4.59,0,1.32,69.89,0.58,10.48,14.27,0,0,36.09,0,0,0,0,0,16.21,0,0,1.12,0,1.32
 60-70,0,0,0,0,0,0,0,65.69,0,9.83,0,13.95,1.6,2.2,0.77,0.98,0,0,1.87,0,0,18.67,1.14,2.82,57.14,2.09,7.64,3.47,0,0,35.17,0,0,0.59,0,0,10.75,0,0,0,0,0
 72-82,0,0,0,0,16.29,1.54,0.72,116.32,0,0,1.74,35.81,1.09,0,0,5.88,1.98,0,2.4,3.49,3.63,22.61,5.46,0.66,94.13,0,24.69,13.28,0,0,30.64,0,0,0,0,0,4.47,0.69,0,5.69,0,3.5
 84-94,0,0,0,0,21.12,0,0,81.88,0,1.22,1.81,22.23,3.92,0,0,1.02,4.01,0.76,2.92,0.56,0,18.58,3.93,0,56.73,1.53,7.94,23.24,0,0,64.62,0,0,0,0,0,6.63,1.37,0,1.43,0,0
 96-106,0,0,0,0,16.98,0,0,91.01,0,0.9,2.26,34.22,10.04,0,0.96,3.09,4.1,0,14.74,0.99,0,33.15,4.58,2.84,78.16,2.6,16.21,30.04,0,0,74.03,1.35,0,0,0,0,4.18,5.64,1.03,4.01,3.81,0
108-118,0,0,0,0.61,30.47,0,1.24,65.74,0.7,3.4,6.04,33.33,2.25,0,0.52,1.15,0.8,0,15.75,12.23,3.62,33.66,7.38,5.17,100.82,0,15.64,14.08,0,0.96,82.91,0,0,0.52,0.5,0,7.2,2.17,3.3,0,3.46,5.72
120,0,0,0,0,57.62,9.78,0,72.5,1.14,1.05,1.44,43.72,6.94,5.2,0,1.97,3.03,0,7.41,0,0,31.98,0,6.93,159.32,0,35.65,34.49,0,0,39.64,0,0,0,1.69,0,0,0,0,10.19,0,0
