stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.98,164.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,53.48,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.94,0,0,11.85,0,0,0,11.73,0,0,0,0,0,0,0,0,0,0,212.56,24.69,0,0,59.46,0,0,0,5.29,0,0,0,0,0,0
 14-21,0,0,0,0,3.9,10.17,1.81,0,1.25,0,0,0,0,0,0,0,0,4.46,0,0,2.55,35.26,0,0,0,3.44,0,0,4.75,0.81,5.82,26.68,0,0,0,0
 24-34,0,0,0.6,0.64,2.68,0,13.7,0,3.64,0,0,0,0,0.71,0,0,0,13.29,0,0,2.02,103.71,0,0,1.37,0,1.14,0.93,0,0,0,27.69,0,0,0.7,0
 36-46,0,0,0,0,1.28,0,34.73,1.23,8.91,0,0,0,0,0,0,0,0,11.84,0,0,1.83,114.3,5.95,3.12,2.11,0,0,2.35,0,0,0,18.45,0,0,0.94,2.79
 48-58,0,0,0,0,5.02,0,22.33,4.86,7.34,0,0,0,0,0,0,0,4.61,10.68,0,0,0.92,70.85,0.99,0.4,0,0,0,8.43,0,0,0,27.14,0,0,0,0.82
 60-70,0,0,0,0,1.5,0.61,63.46,4.52,8.68,0,0,0,0,0,0,0,0.7,13.56,2.63,0.62,0.71,91.13,0,4.58,0,0,0,2.32,0,0,0,11.05,0,0,0,0
 72-82,0,0,0,0,2.24,12.58,41.24,0,9.61,0,0,0,0,0,0,0,0,28.9,0,0,1.92,61.17,0,0,0,0,1.53,0.58,0,0,0,2.79,0.53,0.66,0,0
 84-94,0,0,0,0,0.7,2.65,70.86,0,8.86,0.96,0,1.52,1.88,0.99,0.85,0.57,1.11,11.74,2.88,0,0,47.65,0.57,0,1.31,0,0,5.7,0,0,0,7.93,0,0,3.79,0
 96-106,0,0,0,0,2.94,12.3,43.97,1.21,8.29,1.5,0,0,0,0.91,0.74,0,0.67,14.47,2.38,0.69,1.83,64.33,0,0,1.35,0,0,1.98,0,0,0,8.34,0,0,0,1.06
108-118,0,0,0,0,2.7,9.25,21.2,0.66,12.2,1.44,0,0,0.5,1.23,4.73,0,0,21.02,0,0,1.26,51.32,1.05,5.93,2.98,0,0,4.91,0,0,0,0,0,0,0,0
120,0,0,0,0,5.13,1.19,13.41,0,19.87,0,0,0,0,0,0,0,0,25.38,0,2.18,4.99,57.61,0,0,0,0,0,1.13,0,0,0,9.21,1.84,0,0,0
