stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.18,0,3.17,7.1,0,0,0,0,0,0,0,0,0,0,19.75,3.22,0,0,8.14,36.69,1.14,0,2.22,0,7.46,2.23,0,0,12.26,15.19,0,0,0,0,1.1
 24-34,0,0.75,0,9.43,0.62,11.23,0,1.14,0,0,1.69,0,5.46,1.65,2.06,0,58.83,38.4,0.87,0,18.27,182.29,6.65,0,0,0,1.97,0,0,4.3,0.62,8.36,0,0,1.26,0,15.85
 36-46,0,0,0,5.23,2.92,1.96,0,0.79,0.58,1.85,0,0.73,4.78,0,2.14,0,113.61,85.77,0.65,0.84,9.23,139.5,0,5.82,0,0,3.54,0,0,0.72,0,4.54,0,0,1.14,0,17.3
 48-58,0,0,0,1.44,0,0.53,4.66,2.41,0,0.42,0,0.44,6.51,7.45,1.64,0,33.16,78.55,4.5,0.8,10.72,45.05,0,2.24,0,5.75,4.57,0,0,2.27,0,14.66,0,0,1.13,0,23.74
 60-70,0,0,0,5.14,0,5.35,0,0,0,0,0.69,1.19,11.3,0,0,0,14.98,75.79,0,0,15.81,13.36,0,0,0,0,4.87,0,0.62,2.12,0,0,0.81,1.64,0.84,0,20.47
 72-82,0,0,0,5.11,0,14.9,0,0.55,1.81,0.63,6.71,0,8.72,0.66,0.57,0,6.42,90.9,5.01,10.41,11.14,43.87,0,2.05,0,1.46,1.82,0,0,1.34,0,0,0,0,1.89,2.61,27.6
 84-94,0,0,0,12.77,0,1.38,0,0,0.58,3.24,4.62,2.13,26.54,3.39,0,0,14.53,92.1,8.65,6.16,22.7,22.29,0,3.11,0,0,2.06,0,0,5.42,0,2.14,0,0,5.18,0.68,4.6
 96-106,0,0.56,0,4.64,2.58,10.35,1.57,0,0,3.51,3.37,0,12.33,3,1.03,0,5.27,84.13,3.01,2.6,15.75,30.01,0,0,0,0,1.26,0,0,1.28,0,0.63,5.73,0,3.04,1.71,7.91
108-118,0,0.71,0,6.23,0,3.39,4.22,0.51,2.92,0.87,9.33,0,12.64,3.88,0.41,3.01,9.12,73.73,6.87,14.73,14.75,28.63,0,2.93,0,1.82,6.39,0,0,0.43,0,0,7.18,2.27,1.98,1.2,8.31
120,0,0,0,8.35,13.36,2.64,0,2.55,8.73,0,5.41,0,31.97,0,0,0,3.39,154.24,4.05,6.39,15.66,3.7,0,3.8,0,2.54,11.92,0,0,0,0,0,0,0,1.26,0,0
