stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,823.31,16110.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.7,0,0,0,0,0,0,0,0,0
  5-6,688.89,10096.89,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,184.49,11.17,0,0,53.37,0,177.49,0,0,0,0,0,0,0,0,0
  7-9,41.96,51.12,0,43.42,0,0,0,37.42,0,0,0,0,34.89,0,0,0,0,0,0,0,0,0,0,0,802.25,17.29,0,0,199.51,0,3.28,32.06,0,0,0,0,0,0,0,0
 10-12,0,5.51,0,42.2,0,0,0,18.61,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,90.46,0,0,0,63,0,0,0,0,35.96,0,0,0,0,0,0
 14-21,0,0,0,0.91,1.03,0.95,0,5.75,0,0,0,0.84,0,0,0,0.86,0,0,0,0,11.72,0,0,4.64,27.16,0,0,2.19,0,0,0,0,2.7,0,0.98,12.84,0,0,0,0
 24-34,0,0,0,2.66,4.42,0,0,6.1,0.89,0,0.91,0.64,0,0,0,0,0.99,0,0,0,5.37,0,0,0,34.59,0,0,7.81,0,0,2.78,0,0,0,0,9.82,0,0,0,0.63
 36-46,0,0,0,0,19.26,0,0,10.44,0.89,0,0.66,0.57,0,0,0,0,0.61,0,0,0.61,3.19,0,0.77,0,68.22,0,0,5.28,0,0,0,0,0,0,0,2.03,0,13.61,0,0
 48-58,0,0,0,0,14.47,0,0,9.61,6.71,0,0,0,0,0,0,0,2.08,0,0,0,5.05,0,0,0,35.64,0,0,9.48,0,0,0,0,0,0,0,1.61,0,0,0,0
 60-70,0,0,0,0,14.16,0,0,5.03,0.85,1.62,21.87,0,0,0,0,0,12.63,0,0,0,5.08,0,0,0,44.12,0,0,9.13,0,0,1.27,0,0,0,0,5.37,0,5.79,0,0
 72-82,0,0,0.68,0,18.33,0,1.26,29.55,1,2.64,13.43,6.65,0.62,0,0.59,0,11.45,0,0.78,0,11.58,0.75,0,0,17.39,0,0,13.45,0,0,0.53,0,0,0,0,7.95,0.63,20.89,1.08,0
 84-94,0,0,0.88,0,38.21,0,2.56,14.33,7.03,0,5.2,19.02,0,0,0.98,0,15.23,0,2.36,0,12.36,0,0,1.47,26.32,0,2.82,12.34,0,0,16.44,0,0,0,0,0,0.6,22.93,0,0
 96-106,0,0,0,0,123.28,7.67,5.28,25.14,3.33,0,38.61,74.08,0,0,5.82,0,45.03,0,9.42,0,18.2,17.9,0,1.33,39.81,0,0.7,8.18,0,0,23.94,0,0,0,0,8.67,0.66,7.93,0,0
108-118,0,0,0,0,137.65,0,13.56,23.88,13.95,5.1,21.3,123.84,0,0.8,8.48,0.98,102.45,0.85,0,2.2,12.98,0.6,0,0,21.83,0,1.41,15.32,0,3.71,5.34,0,0,0,0,0,5.16,8.59,0,0
120,0,0,0,4.41,127.95,0,10.59,18.02,4.91,0,18.31,62.14,0,0,8.65,2.56,57.13,11.75,9.36,0,24.39,0,0,0,55.39,0,2.89,6.81,0,0,5.33,0,0,0,0,1.34,1.06,0,0,0
