stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,taste,vasculature
  3-4,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.55,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,30.93,0,0,0,0,0,0
 14-21,0,1.18,0,0,0,0,0,0,0,0,0,1.66,3.02,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0.65,0,0,2.09,0,0
 36-46,0,0,0,0,1.38,0,0,0,0,0,0,0,2.89,0.87,3.94,0,4.88,0,0
 48-58,0,0,0,0,1.48,0,0,0,0,0,0,0,6.65,0,0,0,2.38,0,0
 60-70,0,0,0,0,14.15,0,0,0,0,0,0.9,0.67,10.08,0,2.56,1.67,0.67,0,0
 72-82,0,0,0,0,44.82,0,3.07,0,0,0,0,0,6.95,0,0,0,0,0.56,5.62
 84-94,0,1.09,0,0,21.33,0,0,0,1.02,0,0,0,5.32,0,1.9,0,0,0,0
 96-106,0,0,1.06,1.66,62.37,0,0,0.97,0,5.58,2.6,0,7.27,0,0,0,0,0,0.57
108-118,0,0,0,0.43,75.61,0.7,0,0,0,0.52,1.21,0,16.44,0,9.11,0,0,0,0
120,0,0,0,0,46,0,0,0,0,0,0,3.67,22.43,0,0,0,0,0,0
