stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,4.17,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.56,0,0,0,0,0,0,0,0,3.09,5.51,0,0,1.18,0,0,1.29,86.27,0,1.84,0,0,0,0
 24-34,0,8.89,0.67,0,0,0,0,4.34,0.77,0,15.45,42.33,0,0,0,0,2.9,0,16.63,6.97,1.97,0,0,0,0
 36-46,0,9.02,11.51,0,0,0,0,5.63,0.72,0,3.44,120.65,0,0,0,0,0,0,32.67,0,4.56,0,0,0,0
 48-58,0,6.9,8.19,1.91,0,5.62,0,2.04,7.08,1.32,8.91,119.63,0,0.57,0,0,2.74,0,14.15,0,2.05,0,0,0,0
 60-70,0,19.43,24.7,0.58,0,6.33,0,4.86,6.58,0,7.65,141.97,0.58,0,0,0.96,1.52,0,20.61,0,6.33,0,0.86,0,0
 72-82,0,1.08,18.83,0,0,4.59,0,6.39,8.81,0,1.47,143.64,0,0,0,0,0,0,4.67,0,4.67,0,0,0.71,0
 84-94,0,13.21,8.47,3.94,0.56,2.21,0.89,2.38,3.33,0,0.74,78.41,4.47,5.05,0,0,0.58,0,21.29,0,6.22,0,0,0,0
 96-106,0,22.15,20.08,3.97,0,0,0,3.44,5.8,0,0,55.46,0,1.62,0,0,4.26,0,2.79,0,0,0,0,0,0
108-118,0,29.71,24.87,1.19,1.67,0.99,0.8,5.61,8.27,0,0,111.33,1.01,0.91,0,0,3.47,0,9.46,0,2.54,1.73,0,0.69,0.63
120,0,37.13,1.53,0,7.89,4.03,6.3,0,4.51,0,0,187.24,0,13.84,0,2.03,0,1.12,1.32,0,0,0,7.08,0,0
