stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,74.2,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.49,0,0,0,0,0,0
  7-9,0,0,5.46,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.25,0,0,0,7.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,94.93,0,0,0,16.21,0,3.81,0,0,0,0,0,0
 14-21,0,0,0.83,0.87,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,1.18,5.03,0,0,0,0.82,0,7.7,0,0,0,0,0,0
 24-34,0,0,0,0.77,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,23.08,0,2.98,0,0,0,35.44,0,0,0,0,0,0
 36-46,0,0,0,0,0,39.04,0,0,0,0.91,0,0,0,0,0,0,0,0,0.7,0,0,0.65,19.29,0,0,1.22,0,0,87.52,0,0.79,0,0,0,0
 48-58,0,0,0,0,0,332.89,0,1.67,0,6.98,0,0,0,0,0,0,0,0,10.74,0,0,0,91.51,0,0,0,0,0,68.06,0,4.31,0,0,0,0
 60-70,0,0,0,0.73,0.57,2530.73,0,1.31,0,2.65,0,0,0,0,0,0,0,0,7.92,0,0,0,204.72,0,0,2.12,0,0,59.42,0,5.9,0,0,0,5.24
 72-82,0,0.56,0,3.74,9.23,4759.79,0.76,0.76,2.93,55.66,0,1.27,0.49,0,2.9,0,0,0,23.91,2.26,0.51,0.6,617.12,0,0,0,0,0,12.22,0,6.95,0,5.09,2.11,5.96
 84-94,0,0,0,24.24,0,3410.72,0,0.56,0,84.06,0,0.98,0.79,0.69,10.03,0,0.68,0,43.3,0,1.32,0,587.84,0,0,1.46,0,0.6,33.38,0,14.81,0,2.35,14.34,5.14
 96-106,0,0,0,5.54,1.29,3966.81,0,1.48,0,49.48,0.72,1.61,0.57,0,0,0,0,3.42,17.23,0,1.06,1.38,687.96,0.79,1.78,3.12,0,0,5.28,1.05,11.33,1.26,2.67,2.71,9.26
108-118,0,0,0,28.68,1.55,2984.58,0.54,5.23,0,20.67,0.45,0,0.89,1.55,0,1.92,0,0,25.24,1.56,14.39,4.95,512.53,1.73,1.92,1.46,0,0,7.43,0,5.3,6.84,2.89,0.49,0
120,0,0,0,12.72,1.34,2039.28,0,0,5.18,76.16,0,0,8.41,0,11.18,0,0,1.51,32.06,0,0,0,980.09,5.7,3,0,0,0,1.81,0,0,0,2.09,0,8.94
