stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros
  3-4,25.95,114.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,146.76,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0
  7-9,3.69,0,0,0,10.02,0,7.45,0,0,0,0,36.07,5.11,0,22.16,0,0
 10-12,0,0,0,7.97,9.62,0,0,0,0,0,0,57.07,14.96,0,6.75,0,3.39
 14-21,0,0,1.41,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0
 24-34,0,0,0,6.69,0,0,0,1,0,0.64,0.98,1.55,0,0,0,2.83,0
 36-46,0,0,0,0,0.59,0,0,0,0,0,0,0,0,1.22,0,1.55,0
 48-58,0,0,1.29,0,1.5,0,0,0,0,0,0,1.45,0,0,0,0.86,0
 60-70,0,0,0,0,0.7,0,0,0,0,0.75,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.12,0,0,0,0,0,0,0.66,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.76,0,0,5.09,0,0,0,0,0
 96-106,0,0,0.88,0,0,1.75,0,0,0,0,0.58,1.59,0,0,0,0,0
120,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0
