stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,heart,immune,mesenchyme,neural,periderm,pronephros,slow.muscle,spinal.cord,xanthophores
  3-4,28.24,43.23,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.94,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.82,0,0,0,2.53,0
 24-34,0,0,0,0,1.4,0,0,0,0,10.17,0,0,0,3.15,2.33
 36-46,0,0,0,0,0,2.18,0,0,0,24.13,0,0,0,1.36,10.61
 48-58,0,0,0,0,0.73,0,0.66,0,0,26.27,0,0,0,0.9,0
 60-70,0,0,0,0,0,0,0,0,0.69,15.32,0,0,0,0,0
 72-82,0,0,0,0,0,0.95,0,0,0.53,15.94,0,0,0,0,0
 84-94,0,0,0,0,0,2.04,0,0,1.3,17.78,0,0,0,0,0
 96-106,0,0,0,0.6,1.17,0.73,0,0,0,9.17,0,0,5.77,0,0
108-118,0,0,0,0,0,2.79,0,0.53,1.38,26.3,0.88,0.41,0,4.54,0
120,0,0,3.73,0,1.06,20.87,0,0,17.86,45.83,0,0,0,0,0
