stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.75,2488.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,158.2,2786.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,16.09,45.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.61,22.49,0,3.3,0,0,0,26.21,0,0,0,0,0,29.43,0,0,0,0,0,0,0,0,0,0,0,535.01,20.14,0,0,205.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.96,0,4.66,0,0,0,27.87,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,151.61,8.99,0,0,32.24,0,0,0,7.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,13.76,0,0,16.86,0,0,0,1.23,0,0,0,0,0,0,0,0,0,34.8,0,0,4.5,148.71,0.83,0,1.05,0,5.7,0,3.07,0,5.84,4.26,52.65,0,0,0,0,0
 24-34,0,0,0.66,1.44,8.73,0,0,7.55,0,0,0,3.02,1.39,0,0,0.6,0,0,0,0,0,14.35,0.69,0,5.46,799.48,0,0,3.25,0,0.68,0,0,2.42,0,0,345.74,0,0,0,0,0.89
 36-46,0,0,0,1.13,13.22,0.67,0,30.77,0,1.19,0,71.35,0,0,0,0,0,0,0,0.59,0,9.05,0,0,10.83,2089.11,0,1.08,2.4,0,0,0.65,0,3.8,0,0,836.98,0,0,0,0,0
 48-58,0,0,0,0.43,8.24,0,0,189.07,0.58,0,3.99,381.7,0,0,0,0.76,0,8.88,0,0.94,0,34.17,0,7.92,2.3,4319.24,2.24,0.87,5.92,0,0,0,0,0,0,0,1000.29,0,0,0,0,0.63
 60-70,0,0,0.62,1.87,10.62,0,0,726.24,3.32,2.85,6.28,939.65,0,0,0,2.47,0,0.98,0,0,2.38,72.02,0,0.89,10.97,8289.13,7.35,0,0.77,0,8.45,0,0,0,0,0,1684.97,0,0.64,0,0.71,12.4
 72-82,0,0,2.15,0,34.02,8.86,0,1251.16,5.63,0.78,13.64,1356.06,4.24,0,1.23,4.17,0,0.57,0,6.13,0,72.39,0,0.87,7.44,10662.53,3.6,0,1.36,0,5.18,0,0,2.99,0,0,1408.19,3.48,2.69,2.66,1.4,5.97
 84-94,0.62,0,6.74,0.64,34.53,0,0,1090.33,2.08,1.9,12.66,1074.02,5.69,0,0,5.35,1.78,37.41,0.69,0.83,0,115,0,3.42,8.7,6537.34,8.33,2.57,7.05,0,10.09,0,0,0,0,0,882.5,2.89,0,3.9,6.38,0
 96-106,0,0,0.99,0,47.25,10.92,0,952.63,4.51,2.09,45.59,1124.04,7.08,0,0,1.2,0.71,0,0,12.58,7.32,112.51,0,13.76,5.14,6504.09,5.08,0.59,4.53,0,18.57,3.39,0,0,0,0,511.82,1.13,0,0,3.01,0
108-118,0,0,0,0.52,51.44,13.33,2.73,1046.65,9.6,1.04,19.38,1155.97,2.21,0,0,2.63,0,4.29,3.13,3.18,0,124.86,3.41,9.46,12.22,6139.59,11.73,0,7.23,0,9,0,0,0,0.92,0,426.07,3.52,1.17,1.07,3.33,0
120,0,0,0,1.28,59.34,3.65,2.69,1062.28,13.5,1.73,12.07,1633.31,0,0,4.47,7.64,2.21,0,2.13,3.92,0,213.74,0,0,13.02,8781.6,6.66,0,11.2,0,3.63,0,0,0,0,0,300.39,2.29,0,3.19,0,0
