stage,epidermis,glial,heart,mesenchyme,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites
  7-9,0,0,0,0,4.57,0,0,0,0,0,0
 14-21,5.6,0.89,0,0,3.26,0,0,0,1.22,0,1.38
 24-34,0.61,0,0,0,3.36,0,0,0,0,0,0
 36-46,0,0,1.47,0.56,2.3,0,0,0,0,0,0
 48-58,0,0,0,0.42,0,0.77,0.48,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.58,0
 72-82,0,0.93,0,0,4.12,0,0,0,0,0,0
 84-94,0,0,0,0.87,0,0,0,3.97,0,0,0
