stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,21.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.93,0,0,0,0,0,0,0,0,30.16,3.49,0,0,15.34,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,52.88,5.37,0,0,10.93,0,0,0,0,0
 14-21,0,0,0,0,0,0.85,0,0,0,1.29,0,4.05,0,0,0,0,0,3.07,0,0,0
 24-34,0,0,0,0,0,0.63,2.05,0,0,0.82,0,40.72,0,0,0,0,1.57,5.43,0,1.32,0
 36-46,0,0,0,0,0.72,7.1,2.67,0,1.82,0.92,0.56,78.47,0,0.79,0,0,0,9.87,0,0,0
 48-58,0,0,0,3.77,0,31.24,1.24,0,0.43,1.67,0.91,100.47,0,0,0,0,0,34.02,0,3.09,0
 60-70,0,0,0,0,0,45.26,2.33,0,0,1.97,0,72.51,0,0,0.63,0,0,13.83,0,0,0
 72-82,0,0.71,0,0.77,0,21.45,2.45,0,0,9.1,0,68.38,0,0,0,0,0,5.88,0,0,0.49
 84-94,0,0,0,2.44,0,29.36,0.89,0,0,12.34,0,41.95,0,0,0,0,0.79,0,0,0,0
 96-106,0,0,0,0,0,20.53,0,1.98,0,5.15,0,19.85,0,0,0,0,4.75,1.52,0.61,0.64,0
108-118,0,0,0,0,0,18.32,0.57,0,0,0,0,23.28,0,0.44,0,0,0.97,0,0,0,2.47
120,0,0,0,0,0,6.91,6.26,0,0,3.43,0,49.4,0,0,0,0,5.37,0,0,0,0
