stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,57.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,45.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.77,0,0,4.49,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,5.8,0,3.05,0,0,0,0,0
 14-21,0,0,0,2.3,1.12,0,0,0,0,0,0,0,0,0,1.06,0,6.02,0,0,0,0,1.41,0,0,0
 24-34,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0.71,0,25.47,0.64,0,0,0,14.33,0,0,0
 36-46,0,0,0,0,0.73,3.67,0,0,0,0,0,0,0,0,1.81,0,44.49,0,2.08,0,0,1.41,0,0,0
 48-58,0,0,0,0.5,1.25,16.35,0,0.92,0,0,0,0,0,0,2.43,3.6,60.77,0,0,0,2.93,3.63,0,0,0
 60-70,0,0,0,0.68,0,3.14,0,0,0,2.38,0,0,0,0,3.79,2.62,73.32,0,0,0,5.63,8.45,0,2.77,0
 72-82,0,0,0,0,0,14.27,0,0,0,0,0,0,0,0,3.46,0,143.16,0,3.78,0,0,8.93,3.44,0.99,0.63
 84-94,0,0,0,0,0,23.42,0,1.54,0,1.5,0,0.67,0,0,16.49,0.7,71.72,0,0,0,2.07,9.4,0,0,0
 96-106,0,0,0,7.03,0,12.37,1.35,0,0,0,0,0.75,2.09,0.77,9.36,12.63,65.17,0,0.63,0,0,3.23,0,0.7,0
108-118,0,0,0.47,1.06,0.98,18.75,0.9,1.34,0,0,0.57,0,0,1.91,4.8,0.67,96.1,0,0,0,0,4.38,0,0,0
120,0,0,0,0,0,48.97,0,15.77,1.39,0,0,1.05,4.74,0,8.87,0,136.75,0,0,0,1.03,0,0,11.33,0
