stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,8.85,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.07,0,0,0,0,0,0,0,0,19,5.22,0,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,0,0,0,0,0,0,0,0,0,18.24,0,0,0,5.43,0,0,4.56,0,0,0
 14-21,0,0,2.49,0,0,0,0,0,0,0,0,1.04,5.65,0,0,0,0,0,0,0,0.96,5.24,0
 24-34,0,0,0.75,1.09,0,0,0,0,0,0,2.35,1.96,32.13,0.7,0,0.9,0,0,0,0,0,2.98,0
 36-46,0,0,0,5.17,0,1.83,0,0,0,0,0.77,0,24.19,0,0,0,0,0,0,0,0,1.65,0
 48-58,0,0,0,6.36,3.78,0,0,0,0,3.77,1.06,0,39.95,0,0,0,0,0,0,0,0,6.69,2.12
 60-70,0,0,0,26.23,0,6.99,0,0,3.38,0,0.96,0,24.18,0,3.41,1.71,0,0,0,0,0,7.82,2.44
 72-82,0,0,0.52,10.16,0,0.66,0,0.58,0,0,0.92,0,22.88,0,0,0,0,0,0,0,0,7.01,0
 84-94,0,0,1.65,11.45,0,1.57,0,0,0,0,3.84,0,10.74,1.11,0,0,0,0,1.71,0,0,0,2.14
 96-106,0,0,0,0,0,0.82,0,0,0,0,2.07,0,2.05,0,0,0,0,0.81,0,0,0,0,0
108-118,0,0,1.72,2.99,0.96,5.21,0,0,0,2.38,3.66,0,6.05,0,0,0,0,0,0,0,0,0,1.51
120,0,0,0,0,0,0,1.32,0,0,0,10.65,0,53.28,0,0,0,0,0,0,0,0,0,0
