stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,0,0,26.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.16,0,0,0,43.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.41,10.2,0,0,81.89,0,0,5.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.79,21.73,6.49,0,5.74,0,0,0,1.73,1.81,4.35,0,3.7,0,0,0,0,10.6,0,0,17.02,102.16,2.38,1.23,0,1.03,0,40.27,0,7.53,7.02,0,5.78,36.48,0,0,1.12,0,0
 24-34,0,0,0,14.72,0,0,19.62,0,2.23,0,7.47,0,9.61,0,2.77,0,0.78,9.95,0,26.85,0.6,0,15.52,144.56,3.16,2.2,2.98,0,0,224.84,0,0,16.24,0,2.99,52.73,0,0,14.84,0,0
 36-46,0,0,0,6.43,1.22,0,7.64,0,1.14,1.4,13.35,0.56,0.63,2.86,1.45,0,0,0,19.92,43.56,0,1.3,16.48,127.36,8.55,0.6,1.81,0,0,248.4,0,0,6.17,2.28,0,39.77,0,0,4.45,0,10.42
 48-58,0,0,0,6.84,0,0,54.86,0.57,5.92,3.61,42.68,3.47,4.52,0,4.89,0,1.83,0,2.55,84.67,1.35,1.44,10.07,146.11,9.44,2.11,11.32,0,0,119.46,0,0,1.42,0,0,44.12,0,0,0.42,0,8.09
 60-70,0,0.89,0,15.85,0,0,18.66,0.8,19.72,1.38,97.14,0,1.29,0,3.25,8.29,1.27,0,5.72,113.05,2.63,0.68,5.44,85.89,7.77,2.35,4.83,0,0,114.67,0,0,0.63,0,0,23.29,0.61,1.4,3.16,0.71,16.26
 72-82,0,2.97,0,17.41,0.52,0,54.61,0,10.36,3.99,96.45,11.46,0,1.62,1.38,6.65,9.35,1.57,6.33,140.78,1.9,0,5.48,161.09,0,2.19,16.89,0,5.61,83.4,0,0,4.06,0,0,25.49,1.07,1.94,14.08,2.34,9.16
 84-94,0,6.4,0,36.94,0,0,52.55,0.57,7.22,1.89,94.14,11.76,3.1,0.62,5.34,8.16,2.56,0,5.6,95.62,5.91,3.51,13.08,104.06,3.6,0,21.3,0,0,177.4,0,0,8.19,0,0,9.37,2.84,8.36,19.9,5.7,1.21
 96-106,0,10.58,0,56.92,3.13,0,48.12,0,3.78,1.94,141.76,22.26,3.44,7.47,10.9,2.52,9.32,10.68,0,110.66,5.77,7.46,13.35,88.9,0,7,20.06,0,0,240.21,0,0,5.7,0,0,5.67,25.82,4.32,17.86,6.87,10.64
108-118,0,5.8,0,69.61,0.61,0.53,54.61,0,6.82,8.59,136.29,29.41,0,8.9,19.33,17.52,12.66,3.39,10.31,129.35,2.21,10.29,5.2,122.1,2.51,7.86,6.77,0,4.51,197.47,0,0,3.58,0.66,0,10.05,22.23,1.78,27.97,1.77,6.15
120,0,7.98,0,107.54,1.18,0,21.86,0,6.92,3.26,143.02,32.71,0,5.73,19.38,4.85,3.73,24.8,5.22,145.13,17.35,1.26,4.17,154.74,8.68,0,26.9,0,0,156.45,0,0,9.8,0,0,12.21,14.35,0,13,6.74,0
