stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,0,4.82,1.75,0,2.51,0,0,0,1.22,0,0,1.13,0,4.89,0,0,0,0.95,3.11,0,0,5.04,20.47,1.08,1.37,0.88,0,0,4.24,1.38,1.87,22.76,68.16,26.96,0,0,2.02,0,0
 24-34,1.55,0.7,7.42,2.2,0,16.72,3.06,2.37,0,8.66,0,0,0.98,4.69,1.57,0,0.96,0,7.78,7.24,0,0,15.69,207.66,2.41,16.61,4.92,0,0,4.08,0,6.37,3.08,21.67,68.99,0,0,7.49,0,0.81
 36-46,0,0,7.55,1.18,0,42.51,14.19,0,1.51,16.11,0,15.01,3.49,0.67,0.67,0.94,2.8,0.6,0.61,15.35,0,0,10.42,474.46,4.2,18.23,4.85,0,0,2.07,0,1.06,1.12,0.64,114.67,0,0,6,0,3.17
 48-58,0.86,0,22.73,0.43,0,119.99,22.35,0.39,3.74,49.99,2.4,0,1.08,3.09,0.52,0.39,0.48,0.66,0.87,49.74,2.57,0.39,17.48,619.1,0.66,5.93,5.18,0,0,6.61,0,2.6,10.8,0,118.85,0,0,4.03,0,11.2
 60-70,0.7,0,16.82,1.49,0,398.51,17.36,0,3.53,77.63,4.84,1.21,5.28,3.47,4.87,4.16,2.65,8.73,1.66,82.95,1.14,0.65,20.17,826.71,11.71,9.55,8.21,0,2.4,22.94,0,3.06,11.13,0,126.32,0,1.84,19.9,0.64,13.53
 72-82,0.93,0,11.88,43.31,0,490.12,23.18,4.28,1.62,99.1,0.63,0,5.37,11.7,0,2.9,3.35,0,0,163.55,0,2.84,6.61,789.59,0.5,16.26,15.15,0,4.97,7.46,0,1.27,4.67,0,72.07,4.21,1.99,29.82,8.17,5.62
 84-94,3.36,0,26.99,45.3,0,421.73,28.04,0,0,55.5,8.5,0,0,6.12,4.64,0,0.96,1.78,11.63,136.58,1.22,4.12,9.54,533.5,1.42,14.41,33.75,0,0.57,27.53,0,3.59,0.62,0,64.23,1.67,6.24,15.91,4.95,4.84
 96-106,0.94,0,21.34,55.25,0,343.8,29.92,3.98,2.29,51.63,6.66,0,0.76,5.96,1.44,0.57,5.28,4.59,3.85,126.67,14.08,11.38,7.12,575.11,0,19.01,8.46,1.2,5.49,30.65,0,4.3,2.46,0,42.99,0.58,1.3,33.2,3.96,10.46
108-118,0.57,0.74,18.38,35.29,4.86,351.72,26.31,1.24,2.65,97.75,10.55,0,0.99,10.88,8.24,5.39,4.54,5.44,3.14,144.39,2.48,7.51,21.21,581.2,1.15,10.39,12.33,0,10.66,14.11,0,4.66,5.2,0,31.23,3.9,1.18,27.46,6.7,6.96
120,10.11,0,17.55,17.64,1.6,263.95,15.33,0,7.45,116.77,17.73,0,3.24,13.73,11.46,2.63,11.62,2.26,0,119.02,0,15.51,10.39,1179.61,4.97,17.01,23.65,0,28.14,12.37,0,15.55,3.32,0,33.72,1.84,29.45,25.74,8.22,0
