stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,10.19,28.96,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0
  5-6,6.23,108.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.45,0,0,0,0,0,0,0,0,0,116.53,17.33,8.18,0,0,0
 10-12,4.89,0,0,18.94,5.08,0,0,0,0,0,0,45.44,22.84,0,4.18,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.75,0.6,1.42,0,2.67,0,0,0,1.54,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.64,1.94,0,0,0,0,0
 48-58,0,0,0,0,0.5,0,0,0,0,0.41,0,4.07,0,0,0,2.98,0.41
 60-70,0,0,0,0,6.61,0.83,0,0,0,0,0,12.12,0,0,0,4.97,0
 72-82,0,0,0,0,0,0.7,0.63,0,0,0,0,2.5,0,0,0,6.97,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0
 96-106,0,0,1.15,0,0,0,1.35,0,0,0.78,0,1.36,0,0,0,0,0
108-118,0,0,0,0.87,0,1.13,0,0,0,0,0,2.64,0,0,0,0,0
